pagina,testo
14,"
Siamo divenuti tutti come una cosa impura,
e come panno immondo sono tutti i nostri atti di giustizia;
tutti siamo avvizziti come foglie,
le nostre iniquità ci hanno portato via come il vento.
Nessuno invocava il tuo nome,
nessuno si risvegliava per stringersi a te;
perché tu avevi nascosto da noi il tuo volto,
ci avevi messo in balìa della nostra iniquità.
Ma, Signore, tu sei nostro padre;
noi siamo argilla e tu colui che ci plasma,
tutti noi siamo opera delle tue mani.
Parola di Dio.
"
15,
16,
17,"I DOMENICA

SALMO RESPONSORIALE
Dal Salmo 79 (80)

Signore, fa’ splendere il tuo volto e noi saremo salvi.
Tu, pastore d’Israele, ascolta,
seduto sui cherubini, risplendi.
Risveglia la tua potenza
e vieni a salvarci.
Dio degli eserciti, ritorna!
Guarda dal cielo e vedi
e visita questa vigna,
proteggi quello che la tua destra ha piantato,
il figlio dell’uomo che per te hai reso forte.
Sia la tua mano sull’uomo della tua destra,
sul figlio dell’uomo che per te hai reso forte.
Da te mai più ci allontaneremo,
facci rivivere e noi invocheremo il tuo nome.
"
18,"
SECONDA LETTURA

Aspettiamo la manifestazione
del Signore nostro Gesù Cristo.

Dalla prima lettera di san Paolo apostolo ai Corìnzi
1, 3-9

Fratelli, grazia a voi e pace da Dio Padre nostro e dal

Signore Gesù Cristo!

Rendo grazie continuamente al mio Dio per voi, a
motivo della grazia di Dio che vi è stata data in Cristo Gesù,
perché in lui siete stati arricchiti di tutti i doni, quelli della
parola e quelli della conoscenza.
La testimonianza di Cristo si è stabilita tra voi così saldamente che non manca più alcun carisma a voi, che aspettate la
manifestazione del Signore nostro Gesù Cristo. Egli vi renderà
saldi sino alla fine, irreprensibili nel giorno del Signore nostro Gesù Cristo. Degno di fede è Dio, dal quale siete stati
chiamati alla comunione con il Figlio suo Gesù Cristo, Signore
nostro!
Parola di Dio.
"
19,"I DOMENICA

CANTO AL VANGELO
Sal 84, 8

Alleluia, alleluia.
Mostraci, Signore, la tua misericordia
e donaci la tua salvezza.
Alleluia.
VANGELO
Vegliate: non sapete quando
il padrone di casa ritornerà.

Dal Vangelo secondo Marco
13, 33-37

In quel tempo, Gesù disse ai suoi discepoli:

«Fate attenzione, vegliate, perché non sapete
quando è il momento. È come un uomo, che è
partito dopo aver lasciato la propria casa e dato il potere ai suoi servi, a ciascuno il suo
compito, e ha ordinato al portiere di vegliare.

Vegliate dunque: voi non sapete quando il padrone di casa ritornerà, se alla sera o a mezzanotte o al canto del gallo o al
mattino; fate in modo che, giungendo all’improvviso, non vi
trovi addormentati.
Quello che dico a voi, lo dico a tutti: vegliate!».
Parola del Signore."
20,"II DOMENICA
DI AVVENTO
PRIMA LETTURA

Preparate la via al Signore.

Dal libro del profeta Isaìa
40, 1-5.9-11

C«


onsolate, consolate il mio popolo
– dice il vostro Dio –.
Parlate al cuore di Gerusalemme
e gridatele che la sua tribolazione è compiuta,
la sua colpa è scontata,
perché ha ricevuto dalla mano del Signore
il doppio per tutti i suoi peccati».
Una voce grida:
«Nel deserto preparate la via al Signore,
spianate nella steppa la strada per il nostro Dio.
Ogni valle sia innalzata,
ogni monte e ogni colle siano abbassati;
il terreno accidentato si trasformi in piano
e quello scosceso in vallata.
Allora si rivelerà la gloria del Signore
e tutti gli uomini insieme la vedranno,
perché la bocca del Signore ha parlato».
Sali su un alto monte,
tu che annunci liete notizie a Sion!"
21,"II DOMENICA

Alza la tua voce con forza,
tu che annunci liete notizie a Gerusalemme.
Alza la voce, non temere;
annuncia alle città di Giuda: «Ecco il vostro Dio!
Ecco, il Signore Dio viene con potenza,
il suo braccio esercita il dominio.
Ecco, egli ha con sé il premio
e la sua ricompensa lo precede.
Come un pastore egli fa pascolare il gregge
e con il suo braccio lo raduna;
porta gli agnellini sul petto
e conduce dolcemente le pecore madri».
Parola di Dio.
"
22,"
SALMO RESPONSORIALE
Dal Salmo 84 (85)

Mostraci, Signore, la tua misericordia
e donaci la tua salvezza.
Ascolterò che cosa dice Dio, il Signore:
egli annuncia la pace
per il suo popolo, per i suoi fedeli.
Sì, la sua salvezza è vicina a chi lo teme,
perché la sua gloria abiti la nostra terra.
Amore e verità s’incontreranno,
giustizia e pace si baceranno.
Verità germoglierà dalla terra
e giustizia si affaccerà dal cielo.
Certo, il Signore donerà il suo bene
e la nostra terra darà il suo frutto;
giustizia camminerà davanti a lui:
i suoi passi tracceranno il cammino.
"
23,"II DOMENICA

SECONDA LETTURA

Aspettiamo nuovi cieli e una terra nuova.

Dalla seconda lettera di san Pietro apostolo
3, 8-14

Una cosa non dovete perdere di vista, carissimi: davanti al Signore un solo giorno è come mille anni e

mille anni come un solo giorno. Il Signore non ritarda
nel compiere la sua promessa, anche se alcuni parlano di lentezza. Egli invece è magnanimo con voi, perché non vuole che
alcuno si perda, ma che tutti abbiano modo di pentirsi.
Il giorno del Signore verrà come un ladro; allora i cieli spariranno in un grande boato, gli elementi, consumati dal calore,
si dissolveranno e la terra, con tutte le sue opere, sarà distrutta.
Dato che tutte queste cose dovranno finire in questo modo,
quale deve essere la vostra vita nella santità della condotta e
nelle preghiere, mentre aspettate e affrettate la venuta del
giorno di Dio, nel quale i cieli in fiamme si dissolveranno e
gli elementi incendiati fonderanno! Noi infatti, secondo la
sua promessa, aspettiamo nuovi cieli e una terra nuova, nei
quali abita la giustizia.
Perciò, carissimi, nell’attesa di questi eventi, fate di tutto
perché Dio vi trovi in pace, senza colpa e senza macchia.
Parola di Dio.
"
24,"
CANTO AL VANGELO
Lc 3, 4.6

Alleluia, alleluia.
Preparate la via del Signore,
raddrizzate i suoi sentieri!
Ogni uomo vedrà la salvezza di Dio!
Alleluia.

VANGELO
Raddrizzate le vie del Signore.

Dal Vangelo secondo Marco
1, 1-8

Inizio del vangelo di Gesù, Cristo, Figlio di Dio.


Come sta scritto nel profeta Isaìa:
«Ecco, dinanzi a te io mando il mio messaggero:
egli preparerà la tua via.
Voce di uno che grida nel deserto:
Preparate la via del Signore,
raddrizzate i suoi sentieri»,
vi fu Giovanni, che battezzava nel deserto e proclamava un
battesimo di conversione per il perdono dei peccati.
Accorrevano a lui tutta la regione della Giudea e tutti gli abi20"
25,"II DOMENICA

tanti di Gerusalemme. E si facevano battezzare da lui nel fiume Giordano, confessando i loro peccati.
Giovanni era vestito di peli di cammello, con una cintura di
pelle attorno ai fianchi, e mangiava cavallette e miele selvatico. E proclamava: «Viene dopo di me colui che è più forte di
me: io non sono degno di chinarmi per slegare i lacci dei suoi
sandali. Io vi ho battezzato con acqua, ma egli vi battezzerà
in Spirito Santo».
Parola del Signore.
"
26,"III DOMENICA
DI AVVENTO
PRIMA LETTURA

Gioisco pienamente nel Signore.

Dal libro del profeta Isaìa
61, 1-2.10-11

Lo spirito del Signore Dio è su di me,

perché il Signore mi ha consacrato con l’unzione;
mi ha mandato a portare il lieto annuncio ai miseri,
a fasciare le piaghe dei cuori spezzati,
a proclamare la libertà degli schiavi,
la scarcerazione dei prigionieri,
a promulgare l’anno di grazia del Signore.
Io gioisco pienamente nel Signore,
la mia anima esulta nel mio Dio,
perché mi ha rivestito delle vesti della salvezza,
mi ha avvolto con il mantello della giustizia,
come uno sposo si mette il diadema
e come una sposa si adorna di gioielli.
Poiché, come la terra produce i suoi germogli
e come un giardino fa germogliare i suoi semi,
così il Signore Dio farà germogliare la giustizia
e la lode davanti a tutte le genti.
Parola di Dio.
"
27,"III DOMENICA

SALMO RESPONSORIALE
Da Lc 1, 46-54

La mia anima esulta nel mio Dio.
L’anima mia magnifica il Signore
e il mio spirito esulta in Dio, mio salvatore,
perché ha guardato l’umiltà della sua serva.
Grandi cose ha fatto per me l’Onnipotente
e Santo è il suo nome;
di generazione in generazione la sua misericordia
per quelli che lo temono.
Ha ricolmato di beni gli affamati,
ha rimandato i ricchi a mani vuote.
Ha soccorso Israele, suo servo,
ricordandosi della sua misericordia.
"
28,"
SECONDA LETTURA

Spirito, anima e corpo si conservino irreprensibili
per la venuta del Signore.

Dalla prima lettera di san Paolo apostolo ai Tessalonicési
5, 16-24

Fratelli, siate sempre lieti, pregate ininterrottamente,

in ogni cosa rendete grazie: questa infatti è volontà
di Dio in Cristo Gesù verso di voi.

Non spegnete lo Spirito, non disprezzate le profezie. Vagliate
ogni cosa e tenete ciò che è buono. Astenetevi da ogni specie
di male.
Il Dio della pace vi santifichi interamente, e tutta la vostra
persona, spirito, anima e corpo, si conservi irreprensibile per
la venuta del Signore nostro Gesù Cristo. Degno di fede è colui che vi chiama: egli farà tutto questo!
Parola di Dio.

CANTO AL VANGELO
Is 61, 1 (cit. in Lc 4, 18)

Alleluia, alleluia.
Lo Spirito del Signore è sopra di me,
mi ha mandato a portare ai poveri il lieto annuncio.
Alleluia."
29,"III DOMENICA

VANGELO

In mezzo a voi sta uno che voi non conoscete.

Dal Vangelo secondo Giovanni
1, 6-8.19-28

Venne un uomo mandato da Dio:

il suo nome era Giovanni.
Egli venne come testimone
per dare testimonianza alla luce,
perché tutti credessero per mezzo di lui.
Non era lui la luce,
ma doveva dare testimonianza alla luce.
Questa è la testimonianza di Giovanni, quando i Giudei gli
inviarono da Gerusalemme sacerdoti e levìti a interrogarlo:
«Tu, chi sei?». Egli confessò e non negò. Confessò: «Io non
sono il Cristo». Allora gli chiesero: «Chi sei, dunque? Sei tu
Elia?». «Non lo sono», disse. «Sei tu il profeta?». «No», rispose. Gli dissero allora: «Chi sei? Perché possiamo dare
una risposta a coloro che ci hanno mandato. Che cosa dici di
te stesso?». Rispose: «Io sono voce di uno che grida nel deserto: Rendete diritta la via del Signore, come disse il profeta Isaìa».
Quelli che erano stati inviati venivano dai farisei. Essi lo
interrogarono e gli dissero: «Perché dunque tu battezzi, se
non sei il Cristo, né Elia, né il profeta?». Giovanni rispose loro:
«Io battezzo nell’acqua. In mezzo a voi sta uno che voi non
conoscete, colui che viene dopo di me: a lui io non sono degno
di slegare il laccio del sandalo»."
30,"
Questo avvenne in Betània, al di là del Giordano, dove Giovanni stava battezzando.
Parola del Signore.
"
31,"IV DOMENICA
DI AVVENTO
PRIMA LETTURA

Il regno di Davide sarà saldo per sempre
davanti al Signore.

Dal secondo libro di Samuèle
7, 1-5.8b-12.14a.16

Il re Davide, quando si fu stabilito nella sua casa, e il

Signore gli ebbe dato riposo da tutti i suoi nemici
all’intorno, disse al profeta Natan: «Vedi, io abito in
una casa di cedro, mentre l’arca di Dio sta sotto i teli di una
tenda». Natan rispose al re: «Va’, fa’ quanto hai in cuor tuo,
perché il Signore è con te».
Ma quella stessa notte fu rivolta a Natan questa parola del
Signore: «Va’ e di’ al mio servo Davide: ”Così dice il Signore: Forse tu mi costruirai una casa, perché io vi abiti? Io ti
ho preso dal pascolo, mentre seguivi il gregge, perché tu
fossi capo del mio popolo Israele. Sono stato con te dovunque sei andato, ho distrutto tutti i tuoi nemici davanti a te
e renderò il tuo nome grande come quello dei grandi che sono sulla terra. Fisserò un luogo per Israele, mio popolo, e ve
lo pianterò perché vi abiti e non tremi più e i malfattori
non lo opprimano come in passato e come dal giorno in cui
avevo stabilito dei giudici sul mio popolo Israele. Ti darò riposo da tutti i tuoi nemici. Il Signore ti annuncia che farà a
te una casa.
"
32,"
tuoi padri, io susciterò un tuo discendente dopo di te, uscito
dalle tue viscere, e renderò stabile il suo regno. Io sarò per
lui padre ed egli sarà per me figlio.
La tua casa e il tuo regno saranno saldi per sempre davanti a
me, il tuo trono sarà reso stabile per sempre”».
Parola di Dio.

SALMO RESPONSORIALE
Dal Salmo 88 (89)

Canterò per sempre l’amore del Signore.
Canterò in eterno l’amore del Signore,
di generazione in generazione
farò conoscere con la mia bocca la tua fedeltà,
perché ho detto: «È un amore edificato per sempre;
nel cielo rendi stabile la tua fedeltà».
«Ho stretto un’alleanza con il mio eletto,
ho giurato a Davide, mio servo.
Stabilirò per sempre la tua discendenza,
di generazione in generazione edificherò il tuo trono».
«Egli mi invocherà: “Tu sei mio padre,
mio Dio e roccia della mia salvezza”.
Gli conserverò sempre il mio amore,
la mia alleanza gli sarà fedele».
"
33,
34,
35,"IV DOMENICA

SECONDA LETTURA

Il mistero avvolto nel silenzio per secoli,
ora è manifestato.

Dalla lettera di san Paolo apostolo ai Romani
16, 25-27

Fratelli,

a colui che ha il potere di confermarvi
nel mio vangelo, che annuncia Gesù Cristo,
secondo la rivelazione del mistero,
avvolto nel silenzio per secoli eterni,
ma ora manifestato mediante le scritture dei Profeti,
per ordine dell’eterno Dio,
annunciato a tutte le genti
perché giungano all’obbedienza della fede,
a Dio, che solo è sapiente,
per mezzo di Gesù Cristo,
la gloria nei secoli. Amen.
Parola di Dio.

CANTO AL VANGELO
Lc 1, 38

Alleluia, alleluia.
Ecco la serva del Signore:
avvenga per me secondo la tua parola.
Alleluia.
"
36,"
VANGELO

Ecco concepirai un figlio e lo darai alla luce.

Dal Vangelo secondo Luca
1, 26-38

In quel tempo, l’angelo Gabriele fu mandato da

Dio in una città della Galilea, chiamata Nàzaret,
a una vergine, promessa sposa di un uomo della
casa di Davide, di nome Giuseppe. La vergine si
chiamava Maria. Entrando da lei, disse: «Rallègrati, piena di grazia: il Signore è con te».

A queste parole ella fu molto turbata e si domandava che
senso avesse un saluto come questo. L’angelo le disse: «Non
temere, Maria, perché hai trovato grazia presso Dio. Ed ecco,
concepirai un figlio, lo darai alla luce e lo chiamerai Gesù.
Sarà grande e verrà chiamato Figlio dell’Altissimo; il Signore
Dio gli darà il trono di Davide suo padre e regnerà per sempre
sulla casa di Giacobbe e il suo regno non avrà fine».
Allora Maria disse all’angelo: «Come avverrà questo, poiché
non conosco uomo?». Le rispose l’angelo: «Lo Spirito Santo
scenderà su di te e la potenza dell’Altissimo ti coprirà con la
sua ombra. Perciò colui che nascerà sarà santo e sarà chiamato
Figlio di Dio. Ed ecco, Elisabetta, tua parente, nella sua vecchiaia ha concepito anch’essa un figlio e questo è il sesto mese per lei, che era detta sterile: nulla è impossibile a Dio».
Allora Maria disse: «Ecco la serva del Signore: avvenga per me
secondo la tua parola». E l’angelo si allontanò da lei.
Parola del Signore."
37,"TEMPO
DI NATALE"
38,
39,"NATALE
DEL SIGNORE
Alla Messa vespertina nella vigilia
Queste letture vengono proclamate nella Messa che si celebra la sera del
24 dicembre, sia prima che dopo i Primi Vespri del Natale.

PRIMA LETTURA
Il Signore troverà in te la sua delizia.

Dal libro del profeta Isaìa
62, 1-5

Per amore di Sion non tacerò,

per amore di Gerusalemme non mi concederò riposo,
finché non sorga come aurora la sua giustizia
e la sua salvezza non risplenda come lampada.
Allora le genti vedranno la tua giustizia,
tutti i re la tua gloria;
sarai chiamata con un nome nuovo,
che la bocca del Signore indicherà.
Sarai una magnifica corona nella mano del Signore,
un diadema regale nella palma del tuo Dio.
Nessuno ti chiamerà più Abbandonata,
né la tua terra sarà più detta Devastata,
ma sarai chiamata Mia Gioia
e la tua terra Sposata,
perché il Signore troverà in te la sua delizia
e la tua terra avrà uno sposo.
"
40,"NATALE DEL SIGNORE

Sì, come un giovane sposa una vergine,
così ti sposeranno i tuoi figli;
come gioisce lo sposo per la sposa,
così il tuo Dio gioirà per te.
Parola di Dio.

SALMO RESPONSORIALE
Dal Salmo 88 (89)

Canterò per sempre l’amore del Signore.
«Ho stretto un’alleanza con il mio eletto,
ho giurato a Davide, mio servo.
Stabilirò per sempre la tua discendenza,
di generazione in generazione edificherò il tuo trono».
Beato il popolo che ti sa acclamare:
camminerà, Signore, alla luce del tuo volto;
esulta tutto il giorno nel tuo nome,
si esalta nella tua giustizia.
«Egli mi invocherà: “Tu sei mio padre,
mio Dio e roccia della mia salvezza”.
Gli conserverò sempre il mio amore,
la mia alleanza gli sarà fedele».
"
41,"MESSA VESPERTINA NELLA VIGILIA

SECONDA LETTURA

Testimonianza di Paolo a Cristo, figlio di Davide.

Dagli Atti degli Apostoli
13, 16-17.22-25

Paolo, [giunto ad Antiòchia di Pisìdia, nella sinagoga,] si alzò e, fatto cenno con la mano, disse:


«Uomini d’Israele e voi timorati di Dio, ascoltate. Il
Dio di questo popolo d’Israele scelse i nostri padri e rialzò il
popolo durante il suo esilio in terra d’Egitto, e con braccio
potente li condusse via di là.
Poi suscitò per loro Davide come re, al quale rese questa testimonianza: “Ho trovato Davide, figlio di Iesse, uomo secondo il mio cuore; egli adempirà tutti i miei voleri”.
Dalla discendenza di lui, secondo la promessa, Dio inviò, come salvatore per Israele, Gesù. Giovanni aveva preparato la
sua venuta predicando un battesimo di conversione a tutto il
popolo d’Israele.
Diceva Giovanni sul finire della sua missione: “Io non sono
quello che voi pensate! Ma ecco, viene dopo di me uno, al
quale io non sono degno di slacciare i sandali”».
Parola di Dio.
"
42,"NATALE DEL SIGNORE

CANTO AL VANGELO
Alleluia, alleluia.
Domani sarà distrutto il peccato della terra
e regnerà su di noi il Salvatore del mondo.
Alleluia.

VANGELO
Genealogia di Gesù Cristo, figlio di Davide.

Dal Vangelo secondo Matteo
1, 1-25

Genealogia di Gesù Cristo figlio di Davide, figlio

di Abramo.

Abramo generò Isacco, Isacco generò Giacobbe,
Giacobbe generò Giuda e i suoi fratelli, Giuda
generò Fares e Zara da Tamar, Fares generò
Esrom, Esrom generò Aram, Aram generò Aminadàb, Aminadàb
generò Naassòn, Naassòn generò Salmon, Salmon generò Booz
da Racab, Booz generò Obed da Rut, Obed generò Iesse, Iesse
generò il re Davide.
Davide generò Salomone da quella che era stata la moglie di
Urìa, Salomone generò Roboamo, Roboamo generò Abìa, Abìa"
43,"MESSA VESPERTINA NELLA VIGILIA

generò Asaf, Asaf generò Giòsafat, Giòsafat generò Ioram, Ioram generò Ozìa, Ozìa generò Ioatàm, Ioatàm generò Àcaz,
Àcaz generò Ezechìa, Ezechìa generò Manasse, Manasse generò Amos, Amos generò Giosìa, Giosìa generò Ieconìa e i
suoi fratelli, al tempo della deportazione in Babilonia.
Dopo la deportazione in Babilonia, Ieconìa generò Salatièl,
Salatièl generò Zorobabele, Zorobabele generò Abiùd, Abiùd
generò Eliachìm, Eliachìm generò Azor, Azor generò Sadoc, Sadoc generò Achim, Achim generò Eliùd, Eliùd generò Eleàzar,
Eleàzar generò Mattan, Mattan generò Giacobbe, Giacobbe generò Giuseppe, lo sposo di Maria, dalla quale è nato Gesù,
chiamato Cristo.
In tal modo, tutte le generazioni da Abramo a Davide sono
quattordici, da Davide fino alla deportazione in Babilonia
quattordici, dalla deportazione in Babilonia a Cristo quattordici.
Così fu generato Gesù Cristo: sua madre Maria, essendo promessa sposa di Giuseppe, prima che andassero a vivere insieme si trovò incinta per opera dello Spirito Santo. Giuseppe
suo sposo, poiché era uomo giusto e non voleva accusarla
pubblicamente, pensò di ripudiarla in segreto.
Mentre però stava considerando queste cose, ecco, gli apparve
in sogno un angelo del Signore e gli disse: «Giuseppe, figlio
di Davide, non temere di prendere con te Maria, tua sposa.
Infatti il bambino che è generato in lei viene dallo Spirito
Santo; ella darà alla luce un figlio e tu lo chiamerai Gesù: egli
infatti salverà il suo popolo dai suoi peccati».
Tutto questo è avvenuto perché si compisse ciò che era stato
detto dal Signore per mezzo del profeta: «Ecco, la vergine"
44,"NATALE DEL SIGNORE

concepirà e darà alla luce un figlio: a lui sarà dato il nome di
Emmanuele», che significa «Dio con noi».
Quando si destò dal sonno, Giuseppe fece come gli aveva ordinato l’angelo del Signore e prese con sé la sua sposa; senza
che egli la conoscesse, ella diede alla luce un figlio ed egli lo
chiamò Gesù.
Parola del Signore.

Forma breve:
Maria darà alla luce un figlio,
e tu lo chiamerai Gesù.

Dal Vangelo secondo Matteo
1, 18-25

Così fu generato Gesù Cristo: sua madre Maria,

essendo promessa sposa di Giuseppe, prima che
andassero a vivere insieme si trovò incinta per
opera dello Spirito Santo. Giuseppe suo sposo,
poiché era uomo giusto e non voleva accusarla
pubblicamente, pensò di ripudiarla in segreto.

Mentre però stava considerando queste cose, ecco, gli apparve
in sogno un angelo del Signore e gli disse: «Giuseppe, figlio
di Davide, non temere di prendere con te Maria, tua sposa.
Infatti il bambino che è generato in lei viene dallo Spirito
Santo; ella darà alla luce un figlio e tu lo chiamerai Gesù: egli
infatti salverà il suo popolo dai suoi peccati».
"
45,"MESSA VESPERTINA NELLA VIGILIA

Tutto questo è avvenuto perché si compisse ciò che era stato
detto dal Signore per mezzo del profeta: «Ecco, la vergine
concepirà e darà alla luce un figlio: a lui sarà dato il nome di
Emmanuele», che significa «Dio con noi».
Quando si destò dal sonno, Giuseppe fece come gli aveva ordinato l’angelo del Signore e prese con sé la sua sposa; senza
che egli la conoscesse, ella diede alla luce un figlio ed egli lo
chiamò Gesù.
Parola del Signore.

Per le Messe di Natale si usano i tre formulari qui indicati, così come sono
disposti. Tuttavia, è consentito scegliere tra le letture delle tre Messe –
sempre nel loro ordine (Antico Testamento, Apostolo, Vangelo) – quelle
ritenute pastoralmente più adatte all’assemblea che partecipa.
"
46,"NATALE
DEL SIGNORE
Alla Messa della notte

PRIMA LETTURA

Ci è stato dato un figlio.

Dal libro del profeta Isaìa
9, 1-6

Il popolo che camminava nelle tenebre

ha visto una grande luce;
su coloro che abitavano in terra tenebrosa
una luce rifulse.
Hai moltiplicato la gioia,
hai aumentato la letizia.
Gioiscono davanti a te
come si gioisce quando si miete
e come si esulta quando si divide la preda.
Perché tu hai spezzato il giogo che l’opprimeva,
la sbarra sulle sue spalle,
e il bastone del suo aguzzino,
come nel giorno di Màdian.
Perché ogni calzatura di soldato che marciava rimbombando
e ogni mantello intriso di sangue
Perché un bambino è nato per noi,
ci è stato dato un figlio.
Sulle sue spalle è il potere"
47,"MESSA DELLA NOTTE

e il suo nome sarà:
Consigliere mirabile, Dio potente,
Padre per sempre, Principe della pace.
Grande sarà il suo potere
e la pace non avrà fine
sul trono di Davide e sul suo regno,
che egli viene a consolidare e rafforzare
con il diritto e la giustizia, ora e per sempre.
Questo farà lo zelo del Signore degli eserciti.
Parola di Dio.
SALMO RESPONSORIALE
Dal Salmo 95 (96)

Oggi è nato per noi il Salvatore.
Cantate al Signore un canto nuovo,
cantate al Signore, uomini di tutta la terra.
Cantate al Signore, benedite il suo nome.
Annunciate di giorno in giorno la sua salvezza.
In mezzo alle genti narrate la sua gloria,
a tutti i popoli dite le sue meraviglie.
Gioiscano i cieli, esulti la terra,
risuoni il mare e quanto racchiude;
sia in festa la campagna e quanto contiene,
acclamino tutti gli alberi della foresta.
Davanti al Signore che viene:
sì, egli viene a giudicare la terra;
giudicherà il mondo con giustizia
e nella sua fedeltà i popoli."
48,"NATALE DEL SIGNORE

SECONDA LETTURA

È apparsa la grazia di Dio per tutti gli uomini.

Dalla lettera di san Paolo apostolo a Tito
2, 11-14

Figlio mio, è apparsa la grazia di Dio, che porta salvezza a tutti gli uomini e ci insegna a rinnegare

l’empietà e i desideri mondani e a vivere in questo
mondo con sobrietà, con giustizia e con pietà, nell’attesa della beata speranza e della manifestazione della gloria del nostro grande Dio e salvatore Gesù Cristo.
Egli ha dato se stesso per noi, per riscattarci da ogni iniquità
e formare per sé un popolo puro che gli appartenga, pieno di
zelo per le opere buone.
Parola di Dio.

CANTO AL VANGELO
Lc 2, 10-11

Alleluia, alleluia.
Vi annuncio una grande gioia:
oggi è nato per voi un Salvatore, Cristo Signore.
Alleluia."
49,"MESSA DELLA NOTTE

VANGELO

Oggi è nato per voi il Salvatore.

Dal Vangelo secondo Luca
2, 1-14

In quei giorni un decreto di Cesare Augusto ordinò che si facesse il censimento di tutta la

terra. Questo primo censimento fu fatto quando Quirinio era governatore della Siria. Tutti
andavano a farsi censire, ciascuno nella propria città.

Anche Giuseppe, dalla Galilea, dalla città di Nàzaret, salì in
Giudea alla città di Davide chiamata Betlemme: egli apparteneva infatti alla casa e alla famiglia di Davide. Doveva farsi
censire insieme a Maria, sua sposa, che era incinta.
Mentre si trovavano in quel luogo, si compirono per lei i giorni del parto. Diede alla luce il suo figlio primogenito, lo avvolse in fasce e lo pose in una mangiatoia, perché per loro
non c’era posto nell’alloggio.
C’erano in quella regione alcuni pastori che, pernottando all’aperto, vegliavano tutta la notte facendo la guardia al loro
gregge. Un angelo del Signore si presentò a loro e la gloria
del Signore li avvolse di luce. Essi furono presi da grande timore, ma l’angelo disse loro: «Non temete: ecco, vi annuncio
una grande gioia, che sarà di tutto il popolo: oggi, nella città
di Davide, è nato per voi un Salvatore, che è Cristo Signore.
Questo per voi il segno: troverete un bambino avvolto in fasce, adagiato in una mangiatoia»."
50,"NATALE DEL SIGNORE

E subito apparve con l’angelo una moltitudine dell’esercito
celeste, che lodava Dio e diceva:
«Gloria a Dio nel più alto dei cieli
e sulla terra pace agli uomini, che egli ama».
Parola del Signore.
"
51,
52,
