testo,pagina
"Ristabilisci, Signore, la nostra sorte, come i torrenti del Negheb. Chi semina nelle lacrime mieterà nella gioia. Nell’andare, se ne va piangendo, portando la semente da gettare, ma nel tornare, viene con gioia, portando i suoi covoni. Fratelli, sempre, quando prego per tutti voi, lo faccio con gioia a motivo della vostra cooperazione per il Vangelo, dal primo giorno fino al presente. Sono persuaso che colui il quale ha iniziato in voi quest’opera buona, la porterà a compimento fino al giorno di Cristo Gesù. Infatti Dio mi è testimone del vivo desiderio che nutro per tutti voi nell’amore di Cristo Gesù. E perciò prego che la vostra carità cresca sempre più in conoscenza e in pieno discernimento, perché possiate distinguere ciò che è meglio ed essere integri e irreprensibili per il giorno di Cristo, ricolmi di quel frutto di giustizia che si ottiene per mezzo di Gesù Cristo, a gloria e lode di Dio. Parola di Dio. SECONDA LETTURA Siate integri e irreprensibili per il giorno di Cristo. Dalla lettera di san Paolo apostolo ai Filippési 1, 4-6.8-11",21
"Alleluia, alleluia. Preparate la via del Signore, raddrizzate i suoi sentieri! Ogni uomo vedrà la salvezza di Dio! Alleluia. Nell’anno quindicesimo dell’impero di Tiberio Cesare, mentre Ponzio Pilato era governatore della Giudea, Erode tetràrca della Galilea, e Filippo, suo fratello, tetràrca dell’Iturèa e della Traconìtide, e Lisània tetràrca dell’Abilène, sotto i sommi sacerdoti Anna e Càifa, la parola di Dio venne su Giovanni, figlio di Zaccarìa, nel deserto. Egli percorse tutta la regione del Giordano, predicando un battesimo di conversione per il perdono dei peccati, com’è scritto nel libro degli oracoli del profeta Isaìa: Dal Vangelo secondo Luca 3, 1-6 VANGELO Ogni uomo vedrà la salvezza di Dio! CANTO AL VANGELO Lc 3, 4.6",22
"«Voce di uno che grida nel deserto: Preparate la via del Signore, raddrizzate i suoi sentieri! Ogni burrone sarà riempito, ogni monte e ogni colle sarà abbassato; le vie tortuose diverranno diritte e quelle impervie, spianate. Ogni uomo vedrà la salvezza di Dio!». Parola del Signore.",23
"Rallègrati, figlia di Sion, grida di gioia, Israele, esulta e acclama con tutto il cuore, figlia di Gerusalemme! Il Signore ha revocato la tua condanna, ha disperso il tuo nemico. Re d’Israele è il Signore in mezzo a te, tu non temerai più alcuna sventura. In quel giorno si dirà a Gerusalemme: «Non temere, Sion, non lasciarti cadere le braccia! Il Signore, tuo Dio, in mezzo a te è un salvatore potente. Gioirà per te, ti rinnoverà con il suo amore, esulterà per te con grida di gioia». Parola di Dio. PRIMA LETTURA Il Signore esulterà per te con grida di gioia. Dal libro del profeta Sofonìa 3, 14-17 III DOMENICA DI AVVENTO",24
"Canta ed esulta, perché grande in mezzo a te è il Santo d’Israele. Ecco, Dio è la mia salvezza; io avrò fiducia, non avrò timore, perché mia forza e mio canto è il Signore; egli è stato la mia salvezza. Attingerete acqua con gioia alle sorgenti della salvezza. Rendete grazie al Signore e invocate il suo nome, proclamate fra i popoli le sue opere, fate ricordare che il suo nome è sublime. Cantate inni al Signore, perché ha fatto cose eccelse, le conosca tutta la terra. Canta ed esulta, tu che abiti in Sion, perché grande in mezzo a te è il Santo d’Israele. SALMO RESPONSORIALE Da Is 12, 2-6",25
"Fratelli, siate sempre lieti nel Signore, ve lo ripeto: siate lieti. La vostra amabilità sia nota a tutti. Il Signore è vicino! Non angustiatevi per nulla, ma in ogni circostanza fate presenti a Dio le vostre richieste con preghiere, suppliche e ringraziamenti. E la pace di Dio, che supera ogni intelligenza, custodirà i vostri cuori e le vostre menti in Cristo Gesù. Parola di Dio. Alleluia, alleluia. Lo Spirito del Signore è sopra di me, mi ha mandato a portare ai poveri il lieto annuncio. Alleluia. SECONDA LETTURA Il Signore è vicino! Dalla lettera di san Paolo apostolo ai Filippési 4, 4-7 CANTO AL VANGELO Is 61, 1 (cit. in Lc 4, 18)",26
"In quel tempo, le folle interrogavano Giovanni, dicendo: «Che cosa dobbiamo fare?». Rispondeva loro: «Chi ha due tuniche, ne dia a chi non ne ha, e chi ha da mangiare, faccia altrettanto». Vennero anche dei pubblicani a farsi battezzare e gli chiesero: «Maestro, che cosa dobbiamo fare?». Ed egli disse loro: «Non esigete nulla di più di quanto vi è stato fissato». Lo interrogavano anche alcuni soldati: «E noi, che cosa dobbiamo fare?». Rispose loro: «Non maltrattate e non estorcete niente a nessuno; accontentatevi delle vostre paghe». Poiché il popolo era in attesa e tutti, riguardo a Giovanni, si domandavano in cuor loro se non fosse lui il Cristo, Giovanni rispose a tutti dicendo: «Io vi battezzo con acqua; ma viene colui che è più forte di me, a cui non sono degno di slegare i lacci dei sandali. Egli vi battezzerà in Spirito Santo e fuoco. Tiene in mano la pala per pulire la sua aia e per raccogliere il frumento nel suo granaio; ma brucerà la paglia con un fuoco inestinguibile». Con molte altre esortazioni Giovanni evangelizzava il popolo. Parola del Signore. Dal Vangelo secondo Luca 3, 10-18 VANGELO E noi che cosa dobbiamo fare?",27
"Così dice il Signore: «E tu, Betlemme di Èfrata, così piccola per essere fra i villaggi di Giuda, da te uscirà per me colui che deve essere il dominatore in Israele; le sue origini sono dall’antichità, dai giorni più remoti. Perciò Dio li metterà in potere altrui, fino a quando partorirà colei che deve partorire; e il resto dei tuoi fratelli ritornerà ai figli d’Israele. Egli si leverà e pascerà con la forza del Signore, con la maestà del nome del Signore, suo Dio. Abiteranno sicuri, perché egli allora sarà grande fino agli estremi confini della terra. Egli stesso sarà la pace!». Parola di Dio. PRIMA LETTURA Da te uscirà per me colui che deve essere il dominatore in Israele. Dal libro del profeta Michèa 5, 1-4a IV DOMENICA DI AVVENTO",28
"Signore, fa’ splendere il tuo volto e noi saremo salvi. Tu, pastore d’Israele, ascolta, seduto sui cherubini, risplendi. Risveglia la tua potenza e vieni a salvarci. Dio degli eserciti, ritorna! Guarda dal cielo e vedi e visita questa vigna, proteggi quello che la tua destra ha piantato, il figlio dell’uomo che per te hai reso forte. Sia la tua mano sull’uomo della tua destra, sul figlio dell’uomo che per te hai reso forte. Da te mai più ci allontaneremo, facci rivivere e noi invocheremo il tuo nome. SALMO RESPONSORIALE Dal Salmo 79 (80)",31
"Fratelli, entrando nel mondo, Cristo dice: «Tu non hai voluto né sacrificio né offerta, un corpo invece mi hai preparato. Non hai gradito né olocausti né sacrifici per il peccato. Allora ho detto: “Ecco, io vengo – poiché di me sta scritto nel rotolo del libro – per fare, o Dio, la tua volontà”». Dopo aver detto: «Tu non hai voluto e non hai gradito né sacrifici né offerte, né olocausti né sacrifici per il peccato», cose che vengono offerte secondo la Legge, soggiunge: «Ecco, io vengo per fare la tua volontà». Così egli abolisce il primo sacrificio per costituire quello nuovo. Mediante quella volontà siamo stati santificati per mezzo dell’offerta del corpo di Gesù Cristo, una volta per sempre. Parola di Dio. SECONDA LETTURA Ecco, io vengo per fare, o Dio, la tua volontà. Dalla lettera agli Ebrei 10, 5-10",32
"CANTO AL VANGELO Lc 1, 38 Alleluia, alleluia. Ecco la serva del Signore: avvenga per me secondo la tua parola. Alleluia. In quei giorni Maria si alzò e andò in fretta verso la regione montuosa, in una città di Giuda. Entrata nella casa di Zaccarìa, salutò Elisabetta. Appena Elisabetta ebbe udito il saluto di Maria, il bambino sussultò nel suo grembo. Elisabetta fu colmata di Spirito Santo ed esclamò a gran voce: «Benedetta tu fra le donne e benedetto il frutto del tuo grembo! A che cosa devo che la madre del mio Signore venga da me? Ecco, appena il tuo saluto è giunto ai miei orecchi, il bambino ha sussultato di gioia nel mio grembo. E beata colei che ha creduto nell’adempimento di ciò che il Signore le ha detto». Parola del Signore. Dal Vangelo secondo Luca 1, 39-45 VANGELO A che cosa devo che la madre del mio Signore venga da me?",33
TEMPO DI NATALE,35
"Per amore di Sion non tacerò, per amore di Gerusalemme non mi concederò riposo, finché non sorga come aurora la sua giustizia e la sua salvezza non risplenda come lampada. Allora le genti vedranno la tua giustizia, tutti i re la tua gloria; sarai chiamata con un nome nuovo, che la bocca del Signore indicherà. Sarai una magnifica corona nella mano del Signore, un diadema regale nella palma del tuo Dio. Nessuno ti chiamerà più Abbandonata, né la tua terra sarà più detta Devastata, ma sarai chiamata Mia Gioia e la tua terra Sposata, perché il Signore troverà in te la sua delizia e la tua terra avrà uno sposo. PRIMA LETTURA Il Signore troverà in te la sua delizia. Dal libro del profeta Isaìa 62, 1-5 NATALE DEL SIGNORE Alla Messa vespertina nella vigilia Queste letture vengono proclamate nella Messa che si celebra la sera del 24 dicembre, sia prima che dopo i Primi Vespri del Natale.",37
"Sì, come un giovane sposa una vergine, così ti sposeranno i tuoi figli; come gioisce lo sposo per la sposa, così il tuo Dio gioirà per te. Parola di Dio. Canterò per sempre l’amore del Signore. «Ho stretto un’alleanza con il mio eletto, ho giurato a Davide, mio servo. Stabilirò per sempre la tua discendenza, di generazione in generazione edificherò il tuo trono». Beato il popolo che ti sa acclamare: camminerà, Signore, alla luce del tuo volto; esulta tutto il giorno nel tuo nome, si esalta nella tua giustizia. «Egli mi invocherà: “Tu sei mio padre, mio Dio e roccia della mia salvezza”. Gli conserverò sempre il mio amore, la mia alleanza gli sarà fedele». SALMO RESPONSORIALE Dal Salmo 88 (89)",38
"Paolo, [giunto ad Antiòchia di Pisìdia, nella sinagoga,] si alzò e, fatto cenno con la mano, disse: «Uomini d’Israele e voi timorati di Dio, ascoltate. Il Dio di questo popolo d’Israele scelse i nostri padri e rialzò il popolo durante il suo esilio in terra d’Egitto, e con braccio potente li condusse via di là. Poi suscitò per loro Davide come re, al quale rese questa testimonianza: “Ho trovato Davide, figlio di Iesse, uomo secondo il mio cuore; egli adempirà tutti i miei voleri”. Dalla discendenza di lui, secondo la promessa, Dio inviò, come salvatore per Israele, Gesù. Giovanni aveva preparato la sua venuta predicando un battesimo di conversione a tutto il popolo d’Israele. Diceva Giovanni sul finire della sua missione: “Io non sono quello che voi pensate! Ma ecco, viene dopo di me uno, al quale io non sono degno di slacciare i sandali”». Parola di Dio. SECONDA LETTURA Testimonianza di Paolo a Cristo, figlio di Davide. Dagli Atti degli Apostoli 13, 16-17.22-25",39
"Alleluia, alleluia. Domani sarà distrutto il peccato della terra e regnerà su di noi il Salvatore del mondo. Alleluia. Genealogia di Gesù Cristo figlio di Davide, figlio di Abramo. Abramo generò Isacco, Isacco generò Giacobbe, Giacobbe generò Giuda e i suoi fratelli, Giuda generò Fares e Zara da Tamar, Fares generò Esrom, Esrom generò Aram, Aram generò Aminadàb, Aminadàb generò Naassòn, Naassòn generò Salmon, Salmon generò Booz da Racab, Booz generò Obed da Rut, Obed generò Iesse, Iesse generò il re Davide. Davide generò Salomone da quella che era stata la moglie di Urìa, Salomone generò Roboamo, Roboamo generò Abìa, Abìa Dal Vangelo secondo Matteo 1, 1-25 VANGELO Genealogia di Gesù Cristo, figlio di Davide. CANTO AL VANGELO",40
"generò Asaf, Asaf generò Giòsafat, Giòsafat generò Ioram, Ioram generò Ozìa, Ozìa generò Ioatàm, Ioatàm generò Àcaz, Àcaz generò Ezechìa, Ezechìa generò Manasse, Manasse generò Amos, Amos generò Giosìa, Giosìa generò Ieconìa e i suoi fratelli, al tempo della deportazione in Babilonia. Dopo la deportazione in Babilonia, Ieconìa generò Salatièl, Salatièl generò Zorobabele, Zorobabele generò Abiùd, Abiùd generò Eliachìm, Eliachìm generò Azor, Azor generò Sadoc, Sadoc generò Achim, Achim generò Eliùd, Eliùd generò Eleàzar, Eleàzar generò Mattan, Mattan generò Giacobbe, Giacobbe generò Giuseppe, lo sposo di Maria, dalla quale è nato Gesù, chiamato Cristo. In tal modo, tutte le generazioni da Abramo a Davide sono quattordici, da Davide fino alla deportazione in Babilonia quattordici, dalla deportazione in Babilonia a Cristo quattordici. Così fu generato Gesù Cristo: sua madre Maria, essendo promessa sposa di Giuseppe, prima che andassero a vivere insieme si trovò incinta per opera dello Spirito Santo. Giuseppe suo sposo, poiché era uomo giusto e non voleva accusarla pubblicamente, pensò di ripudiarla in segreto. Mentre però stava considerando queste cose, ecco, gli apparve in sogno un angelo del Signore e gli disse: «Giuseppe, figlio di Davide, non temere di prendere con te Maria, tua sposa. Infatti il bambino che è generato in lei viene dallo Spirito Santo; ella darà alla luce un figlio e tu lo chiamerai Gesù: egli infatti salverà il suo popolo dai suoi peccati». Tutto questo è avvenuto perché si compisse ciò che era stato detto dal Signore per mezzo del profeta: «Ecco, la vergine",41
"Cconcepirà e darà alla luce un figlio: a lui sarà dato il nome di Emmanuele», che significa «Dio con noi». Quando si destò dal sonno, Giuseppe fece come gli aveva ordinato l’angelo del Signore e prese con sé la sua sposa; senza che egli la conoscesse, ella diede alla luce un figlio ed egli lo chiamò Gesù. Parola del Signore. osì fu generato Gesù Cristo: sua madre Maria, essendo promessa sposa di Giuseppe, prima che andassero a vivere insieme si trovò incinta per opera dello Spirito Santo. Giuseppe suo sposo, poiché era uomo giusto e non voleva accusarla pubblicamente, pensò di ripudiarla in segreto. Mentre però stava considerando queste cose, ecco, gli apparve in sogno un angelo del Signore e gli disse: «Giuseppe, figlio di Davide, non temere di prendere con te Maria, tua sposa. Infatti il bambino che è generato in lei viene dallo Spirito Dal Vangelo secondo Matteo 1, 18-25 Forma breve: Maria darà alla luce un figlio, e tu lo chiamerai Gesù.",42
"Santo; ella darà alla luce un figlio e tu lo chiamerai Gesù: egli infatti salverà il suo popolo dai suoi peccati». Tutto questo è avvenuto perché si compisse ciò che era stato detto dal Signore per mezzo del profeta: «Ecco, la vergine concepirà e darà alla luce un figlio: a lui sarà dato il nome di Emmanuele», che significa «Dio con noi». Quando si destò dal sonno, Giuseppe fece come gli aveva ordinato l’angelo del Signore e prese con sé la sua sposa; senza che egli la conoscesse, ella diede alla luce un figlio ed egli lo chiamò Gesù. Parola del Signore. Per le Messe di Natale si usano i tre formulari qui indicati, così come sono disposti. Tuttavia è consentito scegliere, tra le letture delle tre Messe – sempre nel loro ordine (Antico Testamento, Apostolo, Vangelo) – quelle ritenute pastoralmente più adatte all’assemblea che partecipa.",43
"Il popolo che camminava nelle tenebre ha visto una grande luce; su coloro che abitavano in terra tenebrosa una luce rifulse. Hai moltiplicato la gioia, hai aumentato la letizia. Gioiscono davanti a te come si gioisce quando si miete e come si esulta quando si divide la preda. Perché tu hai spezzato il giogo che l’opprimeva, la sbarra sulle sue spalle, e il bastone del suo aguzzino, come nel giorno di Màdian. Perché ogni calzatura di soldato che marciava rimbombando e ogni mantello intriso di sangue saranno bruciati, dati in pasto al fuoco. Perché un bambino è nato per noi, ci è stato dato un figlio. Sulle sue spalle è il potere PRIMA LETTURA Ci è stato dato un figlio. Dal libro del profeta Isaìa 9, 1-6 NATALE DEL SIGNORE Alla Messa della notte",44
"e il suo nome sarà: Consigliere mirabile, Dio potente, Padre per sempre, Principe della pace. Grande sarà il suo potere e la pace non avrà fine sul trono di Davide e sul suo regno, che egli viene a consolidare e rafforzare con il diritto e la giustizia, ora e per sempre. Questo farà lo zelo del Signore degli eserciti. Parola di Dio. Oggi è nato per noi il Salvatore. Cantate al Signore un canto nuovo, cantate al Signore, uomini di tutta la terra. Cantate al Signore, benedite il suo nome. Annunciate di giorno in giorno la sua salvezza. In mezzo alle genti narrate la sua gloria, a tutti i popoli dite le sue meraviglie. Gioiscano i cieli, esulti la terra, risuoni il mare e quanto racchiude; sia in festa la campagna e quanto contiene, acclamino tutti gli alberi della foresta. SALMO RESPONSORIALE Dal Salmo 95 (96)",45
"Davanti al Signore che viene: sì, egli viene a giudicare la terra; giudicherà il mondo con giustizia e nella sua fedeltà i popoli. Figlio mio, è apparsa la grazia di Dio, che porta salvezza a tutti gli uomini e ci insegna a rinnegare l’empietà e i desideri mondani e a vivere in questo mondo con sobrietà, con giustizia e con pietà, nell’attesa della beata speranza e della manifestazione della gloria del nostro grande Dio e salvatore Gesù Cristo. Egli ha dato se stesso per noi, per riscattarci da ogni iniquità e formare per sé un popolo puro che gli appartenga, pieno di zelo per le opere buone. Parola di Dio. SECONDA LETTURA È apparsa la grazia di Dio per tutti gli uomini. Dalla lettera di san Paolo apostolo a Tito 2, 11-14",46
"Alleluia, alleluia. Vi annuncio una grande gioia: oggi è nato per voi un Salvatore, Cristo Signore. Alleluia. In quei giorni un decreto di Cesare Augusto ordinò che si facesse il censimento di tutta la terra. Questo primo censimento fu fatto quando Quirinio era governatore della Siria. Tutti andavano a farsi censire, ciascuno nella propria città. Anche Giuseppe, dalla Galilea, dalla città di Nàzaret, salì in Giudea alla città di Davide chiamata Betlemme: egli apparteneva infatti alla casa e alla famiglia di Davide. Doveva farsi censire insieme a Maria, sua sposa, che era incinta. Mentre si trovavano in quel luogo, si compirono per lei i giorni del parto. Diede alla luce il suo figlio primogenito, lo avvolse in fasce e lo pose in una mangiatoia, perché per loro non c’era posto nell’alloggio. Dal Vangelo secondo Luca 2, 1-14 VANGELO Oggi è nato per voi il Salvatore. CANTO AL VANGELO Lc 2, 10-11",47
"C’erano in quella regione alcuni pastori che, pernottando all’aperto, vegliavano tutta la notte facendo la guardia al loro gregge. Un angelo del Signore si presentò a loro e la gloria del Signore li avvolse di luce. Essi furono presi da grande timore, ma l’angelo disse loro: «Non temete: ecco, vi annuncio una grande gioia, che sarà di tutto il popolo: oggi, nella città di Davide, è nato per voi un Salvatore, che è Cristo Signore. Questo per voi il segno: troverete un bambino avvolto in fasce, adagiato in una mangiatoia». E subito apparve con l’angelo una moltitudine dell’esercito celeste, che lodava Dio e diceva: «Gloria a Dio nel più alto dei cieli e sulla terra pace agli uomini, che egli ama». Parola del Signore.",48
"Ecco ciò che il Signore fa sentire all’estremità della terra: «Dite alla figlia di Sion: Ecco, arriva il tuo salvatore; ecco, egli ha con sé il premio e la sua ricompensa lo precede. Li chiameranno Popolo santo, Redenti del Signore. E tu sarai chiamata Ricercata, Città non abbandonata». Parola di Dio. PRIMA LETTURA Ecco, arriva il tuo Salvatore. Dal libro del profeta Isaìa 62, 11-12 NATALE DEL SIGNORE Alla Messa dell’aurora",49
"Oggi la luce risplende su di noi. Il Signore regna: esulti la terra, gioiscano le isole tutte. Annunciano i cieli la sua giustizia e tutti i popoli vedono la sua gloria. Una luce è spuntata per il giusto, una gioia per i retti di cuore. Gioite, giusti, nel Signore, della sua santità celebrate il ricordo. SALMO RESPONSORIALE Dal Salmo 96 (97)",50
"Figlio mio, quando apparvero la bontà di Dio, salvatore nostro, e il suo amore per gli uomini, egli ci ha salvati, non per opere giuste da noi compiute, ma per la sua misericordia, con un’acqua che rigenera e rinnova nello Spirito Santo, che Dio ha effuso su di noi in abbondanza per mezzo di Gesù Cristo, salvatore nostro, affinché, giustificati per la sua grazia, diventassimo, nella speranza, eredi della vita eterna. Parola di Dio. Alleluia, alleluia. Gloria a Dio nel più alto dei cieli e sulla terra pace agli uomini, che egli ama. Alleluia. SECONDA LETTURA Ci ha salvati per la sua misericordia. Dalla lettera di san Paolo apostolo a Tito 3, 4-7 CANTO AL VANGELO Lc 2, 14",53
"Appena gli angeli si furono allontanati da loro, verso il cielo, i pastori dicevano l’un l’altro: «Andiamo dunque fino a Betlemme, vediamo questo avvenimento che il Signore ci ha fatto conoscere». Andarono, senza indugio, e trovarono Maria e Giuseppe e il bambino, adagiato nella mangiatoia. E dopo averlo visto, riferirono ciò che del bambino era stato detto loro. Tutti quelli che udivano si stupirono delle cose dette loro dai pastori. Maria, da parte sua, custodiva tutte queste cose, meditandole nel suo cuore. I pastori se ne tornarono, glorificando e lodando Dio per tutto quello che avevano udito e visto, com’era stato detto loro. Parola del Signore. Dal Vangelo secondo Luca 2, 15-20 VANGELO I pastori trovarono Maria e Giuseppe e il bambino.",54
"Come sono belli sui monti i piedi del messaggero che annuncia la pace, del messaggero di buone notizie che annuncia la salvezza, che dice a Sion: «Regna il tuo Dio». Una voce! Le tue sentinelle alzano la voce, insieme esultano, poiché vedono con gli occhi il ritorno del Signore a Sion. Prorompete insieme in canti di gioia, rovine di Gerusalemme, perché il Signore ha consolato il suo popolo, ha riscattato Gerusalemme. Il Signore ha snudato il suo santo braccio davanti a tutte le nazioni; tutti i confini della terra vedranno la salvezza del nostro Dio. Parola di Dio. PRIMA LETTURA Tutti i confini della terra vedranno la salvezza del nostro Dio. Dal libro del profeta Isaìa 52, 7-10 NATALE DEL SIGNORE Alla Messa del giorno",55
"Tutta la terra ha veduto la salvezza del nostro Dio. Cantate al Signore un canto nuovo, perché ha compiuto meraviglie. Gli ha dato vittoria la sua destra e il suo braccio santo. Il Signore ha fatto conoscere la sua salvezza, agli occhi delle genti ha rivelato la sua giustizia. Egli si è ricordato del suo amore, della sua fedeltà alla casa d’Israele. Tutti i confini della terra hanno veduto la vittoria del nostro Dio. Acclami il Signore tutta la terra, gridate, esultate, cantate inni! Cantate inni al Signore con la cetra, con la cetra e al suono di strumenti a corde; con le trombe e al suono del corno acclamate davanti al re, il Signore. SALMO RESPONSORIALE Dal Salmo 97 (98)",56
