pagina,testo
11,"9-10-2007



5. Per quanto riguarda le celebrazioni della santa Famiglia, del Battesimo del Signore,
dell’Ascensione e della Pentecoste sono state aggiunte indicazioni di letture ad libitum, in modo che risultasse completo, anche per questa celebrazioni, il quadro dei testi biblici, così come
sono distribuiti nei cicli A, B, C del Lezionario festivo.
Il Sommo Pontefice Giovanni Paolo II ha approvato con la sua autorità questa seconda
edizione dell’Ordo lectionum Missae, che la sacra Congregazione per i Sacramenti e il Culto
divino ora promulga e dichiara tipica.
Sarà compito delle Conferenze Episcopali riportare le varianti di questa seconda edizione
nelle rispettive edizioni in lingua parlata.
Nonostante qualsiasi cosa in contrario.
Dalla sede della sacra Congregazione per i Sacramenti e il Culto divino,
21 gennaio 1981

JAMES R. Card. KNOX
Prefetto
VIRGILIO NOÈ
Segretario aggiunto
"
12,"9-10-2007



CONGREGATIO PRO CULTU DIVINO
ET DISCIPLINA SACRAMENTORUM

Prot. N. 842/06/L

ITALIAE

Instante Eminentissimo Domino Camillo Card. Ruini, pro Alma Urbe Vicario Generali
Suae Sanctitatis et Praeside Conferentiae Episcoporum Italiae, litteris die 5 mensis iulii 2006
datis, vigore facultatum huic Congregationi a Summo Pontifice BENEDICTO XVI tributarum, translationem italicam Lectionarii Missalis Romani, prout in adiecto exstat exemplari,
perlibenter probamus seu confirmamus.
In textu imprimendo mentio fiat de approbatione seu confirmatione ab Apostolica Sede
concessa.
Eiusdem insuper textus impressi duo exemplaria ad hanc Congregationem transmittantur.
Contrariis quibuslibet minime obstantibus.
Ex aedibus Congregationis de Cultu Divino
et Disciplina Sacramentorum,
die 12 mensis iulii 2006

FRANCISCUS Card. ARINZE
Praefectus
✠ MALCOLMUS RANJITH
Archiepiscopus a Secretis
"
13,"9-10-2007



CONFERENZA EPISCOPALE ITALIANA

Prot. N. 950/06

Questo Lezionario del Messale Romano, preparato secondo l’editio typica altera dell’Ordo
lectionum Missae, utilizza la versione della sacra Bibbia curata dalla Conferenza Episcopale
Italiana, approvata secondo le delibere dell’Episcopato.
Ha ricevuto la conferma della Congregazione per il Culto Divino e la Disciplina dei
Sacramenti con Decreto Prot. N. 842/06/L del 12 luglio 2006.
La presente edizione deve essere considerata “tipica” per la lingua italiana, ufficiale per
l’uso liturgico. Il Lezionario si potrà adoperare a partire dal 2 dicembre 2007, prima domenica
di Avvento; diventerà obbligatorio dal 28 novembre 2010.
Roma, 25 dicembre 2006
Natale del Signore

CAMILLO Card. RUINI
Vicario Generale di Sua Santità
per la diocesi di Roma
Presidente della Conferenza Episcopale Italiana
"
14,9-10-2007
15,"9-10-2007



INTRODUZIONE"
16,9-10-2007
17,"9-10-2007



ORDINAMENTO DELLE LETTURE DELLA MESSA

INTRODUZIONE
PROEMIO
CAPITOLO I

PRINCIPI GENERALI
PER LA CELEBRAZIONE LITURGICA
DELLA PAROLA DI DIO

1. Alcune premesse
A. IMPORTANZA DELLA PAROLA DI DIO NELLA CELEBRAZIONE LITURGICA
1. L’importanza della parola di Dio, come anche la necessità di un rinnovato impiego della sacra Scrittura nella celebrazione liturgica, è stata oggetto di numerosi ed efficaci pronunciamenti del Concilio Vaticano II1, del magistero dei Sommi Pontefici2 e di diversi documenti
pubblicati dopo il Concilio dai Dicasteri della Santa Sede3.

1 Cf. specialmente CONC. ECUM. VATICANO II, Costituzione sulla sacra Liturgia, Sacrosanctum Concilium, nn. 7, 24, 33, 35,
48, 51, 52, 56. Costituzione dogmatica sulla divina rivelazione, Dei Verbum, nn. 1, 21, 25, 26. Decreto sull’attività missionaria della Chiesa, Ad gentes divinitus, n. 6. Decreto sulla vita e il ministero dei presbiteri, Presbyterorum ordinis, n. 18.
2 Fra le cose dette a voce o scritte dai Sommi Pontefici, cf. specialmente: PAOLO VI, Lett. Ap. Ministeria quaedam, 15 agosto
1972, n. V: AAS 64 (1972) 532; Esort. Ap. Marialis cultus, 2 febbraio 1974, n. 12: AAS 66 (1974) 125-126; Esort. Ap.
Evangelii nuntiandi, 8 dicembre 1975, n. 28: AAS 68 (1976) 24-25; n. 43: ibidem, 33-34; n. 47: ibidem, 36-37. GIOVANNI
PAOLO II, Cost. Ap. Scripturarum thesaurus, 25 aprile 1979, in Nova Vulgata Bibliorum Sacrorum editio, Tipografia Poliglotta
Vaticana 1979, pp. V-VIII; Esort. Ap. Catechesi tradendae, 16 ottobre 1979, n. 23: AAS 71 (1979) 1296-1297; n. 27: ibidem, 1298-1299; n. 48: ibidem, 1316; Lett. Dominicae Cenae, 24 febbraio 1980, n. 10: AAS 72 (1980) 134-137.
3 Cf. per es. SACRA CONGREGAZIONE DEI RITI, Istruzione Eucharisticum mysterium, 25 maggio 1967, n. 10: AAS 59 (1967)
547-548; SACRA CONGREGAZIONE

PER IL

CULTO DIVINO, Istruzione Liturgicae instaurationes, 5 settembre 1970, n. 2: AAS

62 (1970) 695-696; SACRA CONGREGAZIONE PER IL CLERO, Directorium catechisticum generale, 11 aprile 1971, n. 14: AAS
64 (1972) 106-107; n. 25: ibidem, 114; Messale Romano, Ordinamento generale, terza edizione, 2000, nn. 9, 11, 46, 55-56,
93, 96, 355, 359; SACRA CONGREGAZIONE PER L’EDUCAZIONE CATTOLICA, Istruzione sulla formazione liturgica nei seminari,
In ecclesiasticam, 3 giugno 1979, nn. 11, 52; ibidem, Appendice, n. 15; SACRA CONGREGAZIONE PER I SACRAMENTI E IL CULTO

DIVINO, Istruzione Inaestimabile donum, 3 aprile 1980, nn. 1-3: AAS 72 (1980) 333-334.
"
18,"9-10-2007



INTRODUZIONE

Alcuni principi di maggiore importanza sono stati inoltre opportunamente ricordati e brevemente illustrati nelle «Premesse» dell’Ordo lectionum Missae, pubblicato nel 19694.
Poiché però, in occasione della nuova edizione dell’Ordinamento delle letture della Messa, si
richiedeva da varie parti che di questi principi si facesse una trattazione più esauriente, è stata
preparata questa redazione più ampia e insieme più armonizzata delle «Premesse»; in essa, dopo aver presentato in linea generale la relazione fra la parola di Dio e l’azione liturgica5, si
tratterà più particolarmente della parola di Dio nella celebrazione della Messa, per poi esporre
in concreto la speciale struttura dell’ordinamento delle letture.
B. I TERMINI USATI PER INDICARE LA PAROLA DI DIO
2. Sebbene in un argomento come questo si esiga a buon diritto una terminologia precisa, in
modo che il discorso sia chiaro e senza intoppi, tuttavia in queste «Premesse» ci serviremo
delle medesime espressioni in uso nei documenti pubblicati durante e dopo il Concilio. Per i
libri scritti sotto l’ispirazione dello Spirito Santo, useremo i termini sia di sacra Scrittura, sia
di parola di Dio, cercando di evitare ogni confusione di vocaboli e di contenuti6.
C. IL SIGNIFICATO LITURGICO DELLA PAROLA DI DIO
3. I molteplici tesori dell’unica parola di Dio si manifestano mirabilmente nelle varie celebrazioni, come anche nelle diverse assemblee di fedeli che a esse partecipano, sia quando si rievoca nel suo ciclo annuale il mistero di Cristo, sia quando si celebrano i sacramenti e i sacramentali della Chiesa, sia quando i singoli fedeli rispondono all’intima azione dello Spirito
Santo7. Allora infatti la stessa celebrazione liturgica, che poggia fondamentalmente sulla parola di Dio e da essa prende forza, diventa un nuovo evento e arricchisce la parola stessa di
una nuova interpretazione e di una nuova efficacia. Così la Chiesa segue fedelmente nella liturgia quel modo di leggere e di interpretare le sacre Scritture, a cui ricorse Cristo stesso, che
a partire dall’«oggi» del suo evento esorta a scrutare tutte le Scritture8.

4 Cf. Messale Romano, Ordinamento delle Letture della Messa, «Premesse», 1969, pp. IX-XII; Decreto di promulgazione: AAS
61 (1969) 548-549.
5 Cf. CONC. ECUM. VATICANO II, Costituzione sulla sacra Liturgia, Sacrosanctum Concilium, nn. 35, 56; PAOLO VI, Esort.
Ap. Evangelii nuntiandi, 8 dicembre 1975, nn. 28, 47: AAS 68 (1976) 24-25 e 36-37; GIOVANNI PAOLO II, Lett. Dominicae
Cenae, 24 febbraio 1980, nn. 10-12: AAS 72 (1980) 134-146.
6 Così per es. «Parola di Dio, sacra Scrittura, Antico e Nuovo Testamento, Lettura (Letture) della parola di Dio, Lettura
(Letture) della sacra Scrittura, Celebrazione (Celebrazioni) della parola di Dio ecc.».
7 Pertanto, un solo e identico testo si può leggere e utilizzare sotto diversi aspetti e anche in diverse occasioni e celebrazioni
dell’anno liturgico, cosa da tenersi presente nell’omelia, nell’esegesi pastorale e nella catechesi. Dagli indici dell’Ordinamento delle Letture della Messa risulta a tutti evidente l’uso, per esempio, di Rm 6 e Rm 8 nei diversi tempi dell’anno liturgico e nelle diverse celebrazioni dei sacramenti e dei sacramentali.
8 Cf. Lc 4, 16-21; 24, 25-35.44-49.
"
19,"9-10-2007



PRINCIPI GENERALI PER LA CELEBRAZIONE LITURGICA DELLA PAROLA DI DIO

2. La celebrazione liturgica della parola di Dio
A. CARATTERISTICHE DELLA PAROLA DI DIO NELL’AZIONE LITURGICA
4. Nella celebrazione liturgica la parola di Dio non viene proclamata9 in un solo modo, né
raggiunge sempre con la medesima efficacia il cuore di coloro che sono in ascolto: sempre
però nella sua parola è presente Cristo10, che attuando il suo mistero di salvezza, santifica gli
uomini e rende al Padre un culto perfetto11.
Anzi, l’economia della salvezza, che la parola di Dio continuamente richiama e comunica,
nell’azione liturgica raggiunge la pienezza del suo significato; così la celebrazione liturgica diventa un continuo, pieno ed efficace annuncio della parola di Dio.
Pertanto, la parola di Dio, costantemente annunciata nella liturgia, è sempre viva ed efficace12 per la potenza dello Spirito Santo e manifesta quell’amore operante del Padre che giammai cessa di operare verso tutti gli uomini.
B. LA PAROLA DI DIO NELL’ECONOMIA DELLA SALVEZZA
5. La Chiesa annuncia l’unico e identico mistero di Cristo ogni qual volta nella celebrazione
liturgica proclama sia l’Antico che il Nuovo Testamento.
Infatti, nell’Antico Testamento è adombrato il Nuovo e nel Nuovo si disvela l’Antico13. Di tutta la Scrittura, come anche di tutta la celebrazione liturgica, Cristo è il centro e la pienezza14: è
quindi necessario che alle sue sorgenti attingano quanti cercano la salvezza e la vita.

9 Così, per es., «Proclamazione o Lettura, ecc.» nella celebrazione della Messa (cf. Messale Romano, Ordinamento generale,
terza edizione, 2000, nn. 43, 45, 134, 175, 275, 276); così anche le celebrazioni della parola di Dio nel Pontificale, nel Rituale Romano e nella Liturgia delle Ore riformati a norma dei decreti del Concilio Ecumenico Vaticano II.
10 Cf. CONC. ECUM. VATICANO II, Costituzione sulla sacra Liturgia, Sacrosanctum Concilium, nn. 7, 33; Mc 16, 19-20; Mt 28,
20; S. AGOSTINO

DI IPPONA,

Sermo 85, 1: «La bocca di Cristo è l’Evangelo. Regna in cielo, ma non cessa di parlare sulla

terra» (PL 38, 1472; cf. anche In lo. Ev. Tract. XXX, I: PL 35, 1632; CCL 36, 289); Pontificale romano germanico: «Si legge
il Vangelo nel quale Cristo con la sua bocca parla al popolo, per… far risuonare il Vangelo nella Chiesa, come se Cristo
stesso parlasse al popolo» (cf. V. VOGEL – R. ELZE edd., Le Pontifical romano-germanique du dixième siècle. Le Texte, I, Città
del Vaticano 1963/XCIV, 18, p. 334); oppure: «Quando arriva Cristo stesso, cioè il Vangelo, lasciamo il pastorale, poiché
non abbiamo bisogno di appoggio umano» (ibidem, XCIV, 23, p. 335).
11 Cf. CONC. ECUM. VATICANO II, Costituzione sulla sacra Liturgia, Sacrosanctum Concilium, n. 7.
12 Cf. Eb 4, 12.
13 Cf. S. AGOSTINO DI IPPONA, Quaestionum in Heptateuchum liber, 2, 73: PL 34, 623, CCL 33, 106; CONC. ECUM. VATICANO
II, Costituzione dogmatica sulla divina rivelazione, Dei Verbum, n. 16.
14 Cf. S. GIROLAMO: «Se infatti secondo l’apostolo Paolo (1 Cor 1, 24), Cristo è potenza di Dio e sapienza di Dio, anche chi
non conosce le Scritture, non conosce la potenza di Dio e la sua sapienza. L’ignoranza delle Scritture infatti è ignoranza di
Cristo» (Commentarii in Isaiam prophetam. Prologus: PL 24, 17A, CCL 73, 1); CONC. ECUM. VATICANO II, Costituzione
dogmatica sulla divina rivelazione, Dei Verbum, n. 25.
"
20,"9-10-2007



INTRODUZIONE

Quanto più si penetra nel vivo della celebrazione liturgica, tanto più si avverte anche l’importanza della parola di Dio; ciò che si dice della prima si può affermare anche della seconda,
perché l’una e l’altra rievocano il mistero di Cristo e, nel modo loro proprio, lo perpetuano.
C. LA PAROLA DI DIO NELLA PARTECIPAZIONE LITURGICA DEI FEDELI
6. Nell’azione liturgica la Chiesa risponde fedelmente quello stesso «Amen» che Cristo, mediatore fra Dio e gli uomini, pronunciò una volta sola, per tutti i tempi, con l’effusione del suo
sangue, per dare sanzione divina alla Nuova Alleanza nello Spirito Santo15. Pertanto, quando
Dio comunica la sua parola, aspetta sempre una risposta, la quale è un ascolto e un’adorazione
in «Spirito e verità» (Gv 4, 23). Lo Spirito Santo, infatti, rende efficace la risposta stessa, affinché ciò che si ascolta nell’azione liturgica si attui poi anche nella vita, secondo quel detto:
«Siate di quelli che mettono in pratica la parola e non ascoltatori soltanto » (Gc 1, 22).
L’atteggiamento del corpo, i gesti e le parole con i quali si esprime l’azione liturgica e si manifesta la partecipazione dei fedeli, ricevono il loro significato non solo dall’esperienza umana,
dalla quale tali forme sono tratte, ma dalla parola di Dio e dall’economia della salvezza, alla
quale sono riferite. Tanto più viva, quindi, è la partecipazione dei fedeli all’azione liturgica,
quanto più profondamente nell’ascolto della parola di Dio in essa proclamata, i fedeli stessi si
sforzano di aderire al Verbo di Dio incarnato nel Cristo, impegnandosi ad attuare nella loro

3. La parola di Dio nella vita del popolo dell’alleanza
A. LA PAROLA DI DIO NELLA VITA DELLA CHIESA
7. Nell’ascolto della parola di Dio si edifica e cresce la Chiesa e le opere mirabili, che un tempo e in molti modi Dio ha compiuto nella storia della salvezza, vengono in mistica verità ripresentati nei segni della celebrazione liturgica; a sua volta, Dio si serve della stessa assemblea
dei fedeli, che celebrano la Liturgia, perché la sua parola si diffonda e sia glorificata e venga
esaltato tra i popoli il suo nome17.
Pertanto, ogni volta che la Chiesa, riunita dallo Spirito Santo nella celebrazione liturgica18,

15 Cf. 2 Cor 1, 20-22.
16 Cf. CONC. ECUM. VATICANO II, Costituzione sulla sacra Liturgia, Sacrosanctum Concilium, n. 10.
17 Cf. 2 Ts 3, 1.
18 Cf. Messale Romano, Collette, Per la Chiesa, 1983, pp. 776, 777, 779; S. CIPRIANO, De oratione dominica 23: PL 4, 553,
CSEL 3/2, 285, CCL 3A, 105; S. AGOSTINO DI IPPONA, Sermo 71, 20, 33: PL 38, 463 s.
"
21,"9-10-2007



PRINCIPI GENERALI PER LA CELEBRAZIONE LITURGICA DELLA PAROLA DI DIO

annuncia e proclama la parola di Dio, sa di essere il nuovo popolo, nel quale l’alleanza, sancita negli antichi tempi, diventa finalmente piena e completa. A loro volta tutti i fedeli, che in
forza del Battesimo e della Cresima, sono divenuti nello Spirito annunciatori della parola di
Dio, una volta ricevuta la grazia di ascoltare questa parola, devono farsene annunciatori nella
Chiesa e nel mondo, almeno con la testimonianza della loro vita.
La stessa parola di Dio, proclamata nella celebrazione dei divini misteri, non si riferisce soltanto alla presente situazione che stiamo vivendo, ma rievoca il passato e fa intravedere il futuro, ravvivandone in noi il desiderio e la speranza, perché tra il vario fluire delle vicende
umane là siano fissi i nostri cuori, dov’è la vera gioia19.
B. LA PAROLA DI DIO NELL’ESPOSIZIONE CHE NE FA LA CHIESA
8. Poiché per volontà di Cristo stesso il nuovo popolo di Dio è distinto nella mirabile varietà
delle sue membra, così anche diversi sono i compiti e gli uffici che spettano a ciascuno riguardo alla parola di Dio: ai fedeli spetta l’ascoltarla e il meditarla; l’esporla invece spetta soltanto
a coloro che in forza della sacra ordinazione hanno il compito magisteriale, o a coloro ai quali
viene affidato l’esercizio di questo ministero.
Così, nella dottrina, nella vita e nel culto la Chiesa perpetua e trasmette a tutte le generazioni
tutto ciò che essa stessa è e tutto ciò che crede, in modo tale da tendere incessantemente, nel
volgere dei secoli, alla pienezza della verità divina, finché si compia in essa la parola di Dio20.
C. RELAZIONE TRA LA PAROLA DI DIO PROCLAMATA E L’AZIONE DELLO SPIRITO SANTO
9. Perché la parola di Dio operi davvero nei cuori ciò che fa risuonare negli orecchi, si richiede l’azione dello Spirito Santo; sotto la sua ispirazione e con il suo aiuto la parola di Dio diventa fondamento dell’azione liturgica, norma e sostegno di tutta la vita.
L’azione dello stesso Spirito Santo non solo previene, accompagna e prosegue tutta l’azione liturgica, ma a ciascuno suggerisce nel cuore21 tutto ciò che nella proclamazione della parola di
Dio viene detto per l’intera assemblea del fedeli e, mentre rinsalda l’unità di tutti, favorisce
anche la diversità dei carismi e ne valorizza la molteplice azione.

19 Cf. Messale Romano, Colletta della domenica XXI del Tempo Ordinario, 1983, p. 267.
20 Cf. CONC. ECUM. VATICANO II, Costituzione dogmatica sulla divina rivelazione, Dei Verbum, n. 8.
21 Cf. Gv 14, 15-17.25-26; 15, 26 – 16, 15.
"
22,"9-10-2007



INTRODUZIONE

D. L’INTIMO NESSO DELLA PAROLA DI DIO CON IL MISTERO EUCARISTICO
10. Alla parola di Dio e al mistero eucaristico la Chiesa ha tributato e sempre e dappertutto
ha voluto e stabilito che si tributasse la stessa venerazione, anche se non lo stesso culto. Mossa dall’esempio del suo Fondatore, essa non ha mai cessato di celebrare il mistero pasquale,
riunendosi insieme per leggere «in tutte le Scritture ciò che si riferiva a lui» (Lc 24, 27) e attualizzare, con il memoriale del Signore e i sacramenti, l’opera della salvezza. È infatti «necessaria la predicazione della parola per lo stesso ministero dei sacramenti, trattandosi di sacramenti della fede, la quale nasce e si alimenta con la parola»22.
Nutrita spiritualmente all’una e all’altra mensa23, la Chiesa da una parte si arricchisce nella
dottrina e dall’altra si rafforza nella santità. Nella parola di Dio si annuncia la divina alleanza,
mentre nell’Eucaristia si rinnova l’alleanza stessa, nuova ed eterna. Lì la storia della salvezza
viene rievocata nel suono delle parole, qui la stessa storia viene ripresentata nei segni sacramentali della Liturgia.
Si deve, quindi, sempre tener presente che la parola di Dio, dalla Chiesa letta e annunciata nella Liturgia, porta in qualche modo, come al suo stesso fine, al sacrificio dell’alleanza e al convito
della grazia, cioè all’Eucaristia. Pertanto, la celebrazione della Messa, nella quale si ascolta la Parola e si offre e si riceve l’Eucaristia, costituisce un unico atto del culto divino24, con il quale si
offre a Dio il sacrificio di lode e si comunica all’uomo la pienezza della redenzione.

22 CONC. ECUM. VATICANO II, Decreto sulla vita e il ministero dei presbiteri, Presbyterorum ordinis, n. 4.
23 Cf. CONC. ECUM. VATICANO II, Costituzione sulla sacra Liturgia, Sacrosanctum Concilium, n. 51; Decreto sulla vita e il ministero dei presbiteri, Presbyterorum ordinis, n. 18; Costituzione dogmatica sulla divina rivelazione, Dei Verbum, n. 21; Decreto sull’attività missionaria della Chiesa, Ad gentes divinitus, n. 6. Cf. Messale Romano, Ordinamento generale, terza edizione, 2000, n. 28.
24 Cf. CONC. ECUM. VATICANO II, Costituzione sulla sacra Liturgia, Sacrosanctum Concilium, n. 56.
"
23,"9-10-2007



PARTE PRIMA

LA PAROLA DI DIO
NELLA CELEBRAZIONE DELLA MESSA
CAPITOLO II
LA CELEBRAZIONE
DELLA LITURGIA DELLA PAROLA
NELLA MESSA

1. Elementi della liturgia della Parola e riti rispettivi
11. «Le letture scelte dalla sacra Scrittura con i canti che le accompagnano costituiscono la
parte principale della liturgia della Parola; l’omelia, la professione di fede e la preghiera universale o preghiera dei fedeli sviluppano e concludono tale parte»25.
A. LE LETTURE BIBLICHE
12. Nella celebrazione della Messa le letture bibliche, con i canti desunti dalla sacra Scrittura, non si possono né tralasciare, né ridurre, né – il che sarebbe cosa più grave – sostituire con
letture non bibliche26. Con la sua parola trasmessa per iscritto, ancora «Dio parla al suo popolo»27, e con l’assiduo ricorso alla sacra Scrittura, il popolo di Dio, con la luce della fede, reso
docile all’azione dello Spirito Santo, potrà dare, con la sua vita, testimonianza a Cristo dinanzi al mondo.
13. La lettura del Vangelo costituisce il culmine della stessa liturgia della Parola. Le altre letture, proclamate secondo l’ordine tradizionale, cioè dall’Antico al Nuovo Testamento, preparano l’assemblea radunata all’ascolto del Vangelo.

25 Messale Romano, Ordinamento generale, terza edizione, 2000, n. 55.
26 Cf. SACRA CONGREGAZIONE

PER IL

CULTO DIVINO, Istruzione Liturgicae instaurationes, 5 settembre 1970, n. 2: AAS 62

(1970) 695-696; GIOVANNI PAOLO II, Lett. Dominicae Cenae, 24 febbraio 1980, n. 10: AAS 72 (1980) 134-137; SACRA
CONGREGAZIONE PER IL CULTO DIVINO, Istruzione Inaestimabile Donum, 3 aprile 1980, n. 1: AAS 72 (1980) 333.
27 CONC. ECUM. VATICANO II, Costituzione sulla sacra Liturgia, Sacrosanctum Concilium, n. 33.
"
24,"9-10-2007



INTRODUZIONE

14. Lo stesso modo con cui le letture vengono proclamate dai lettori – una proclamazione dignitosa, a voce alta e chiara – favorisce una buona trasmissione della parola di Dio all’assemblea. Le letture, desunte dalle edizioni approvate28, si possono anche cantare secondo l’indole
delle varie lingue, a condizione però che il canto non soffochi le parole, ma le ponga anzi nel
dovuto risalto. Nel caso che la proclamazione si faccia in lingua latina, ci si attenga alla modulazione indicata nell’Ordo Cantus Missae29.
15. Nella liturgia della Parola si possono premettere alle letture, e specialmente alla prima di
esse, delle brevi e opportune monizioni. Si deve porre attenzione al genere letterario di queste
monizioni: devono essere semplici, fedeli al testo, brevi, ben preparate e adatte al testo a cui
devono introdurre30.
16. Nella celebrazione della Messa col popolo le letture si devono sempre proclamare dall’ambone31.
17. Tra i riti della liturgia della Parola si deve tener presente la venerazione dovuta alla lettura del Vangelo32. Dove è a disposizione l’Evangeliario, portato processionalmente dal diacono
o dal lettore durante i riti di introduzione33, è molto opportuno che il diacono o, in sua mancanza, un presbitero, prenda l’Evangeliario stesso dall’altare34 e, preceduto dai ministranti con
ceri e incenso o, se l’uso lo comporta, con altri segni di venerazione, lo porti all’ambone. I fedeli stanno in piedi e, acclamando il Signore, venerano il libro dei Vangeli. Il diacono che
deve proclamare il Vangelo, inchinandosi dinanzi a colui che presiede la celebrazione, chiede
e riceve la benedizione. Se non c’è il diacono, il presbitero s’inchina dinanzi all’altare e prega
sottovoce, dicendo: «Purifica il mio cuore»35.
All’ambone, colui che proclama il Vangelo saluta il popolo che ascolta in piedi, annuncia il
titolo della lettura segnandosi sulla fronte, sulla bocca e sul petto, quindi, se si usa l’incenso,
incensa il libro, poi proclama il Vangelo. Al termine, bacia il libro, dicendo sottovoce le parole prescritte. Il saluto, l’annuncio iniziale: «Dal Vangelo», e quello finale: «Parola del Signore», conviene siano proferiti in canto, in modo che l’assemblea possa a sua volta acclamare in canto, anche se il Vangelo viene soltanto letto. In questo modo si sottolinea l’importanza della lettura del Vangelo e si ravviva la fede di coloro che sono in ascolto.

28 Cf. più avanti, n. 111.
29 Missale Romanum, Ordo Cantus Missae, 1972, Praenotanda, nn. 4, 6, 10.
30 Cf. Messale Romano, Ordinamento generale, terza edizione, 2000, n. 31.
31 Cf. Ibidem, n. 309; e più avanti, nn. 32-34.
32 Cf. Ibidem, n. 60, 134.
33 Cf. Ibidem, nn. 120-122.
34 Cf. Ibidem, nn. 133, 175.
35 Cf. Messale Romano, Rito della Messa con il popolo, 1983, p. 303.
"
