testo,pagina
"VANGELO Dal Vangelo secondo Luca 3, 10-18 In quel tempo, le folle interrogavano Giovanni, Vennero anche dei pubblicani a farsi battezzare e gli chieseLo interrogavano anche alcuni soldati: «E noi, che cosa dobPoiché il popolo era in attesa e tutti, riguardo a Giovanni, si Con molte altre esortazioni Giovanni evangelizzava il popolo. Parola del Signore.",27
"IV DOMENICA PRIMA LETTURA Dal libro del profeta Michèa 5, 1-4a Così dice il Signore: «E tu, Betlemme di Èfrata, Perciò Dio li metterà in potere altrui, Abiteranno sicuri, perché egli allora sarà grande Parola di Dio.",28
"SALMO RESPONSORIALE Signore, fa’ splendere il tuo volto e noi saremo salvi. Tu, pastore d’Israele, ascolta, Dio degli eserciti, ritorna! Sia la tua mano sull’uomo della tua destra,",31
"SECONDA LETTURA Dalla lettera agli Ebrei 10, 5-10 Fratelli, entrando nel mondo, Cristo dice: Dopo aver detto: «Tu non hai voluto e non hai gradito né saParola di Dio.",32
"CANTO AL VANGELO Alleluia, alleluia. Ecco la serva del Signore: Alleluia. VANGELO A che cosa devo che la madre del mio Signore Dal Vangelo secondo Luca 1, 39-45 In quei giorni Maria si alzò e andò in fretta verEntrata nella casa di Zaccarìa, salutò Elisabetta. Parola del Signore.",33
TEMPO,35
"NATALE Alla Messa vespertina nella vigilia Queste letture vengono proclamate nella Messa che si celebra la sera del PRIMA LETTURA Il Signore troverà in te la sua delizia. Dal libro del profeta Isaìa 62, 1-5 Per amore di Sion non tacerò, Allora le genti vedranno la tua giustizia, Nessuno ti chiamerà più Abbandonata,",37
"Sì, come un giovane sposa una vergine, Parola di Dio. SALMO RESPONSORIALE Canterò per sempre l’amore del Signore. «Ho stretto un’alleanza con il mio eletto, Beato il popolo che ti sa acclamare: «Egli mi invocherà: “Tu sei mio padre,",38
"SECONDA LETTURA Dagli Atti degli Apostoli 13, 16-17.22-25 Paolo, [giunto ad Antiòchia di Pisìdia, nella sinago«Uomini d’Israele e voi timorati di Dio, ascoltate. Il Poi suscitò per loro Davide come re, al quale rese questa teDalla discendenza di lui, secondo la promessa, Dio inviò, coDiceva Giovanni sul finire della sua missione: “Io non sono Parola di Dio.",39
"CANTO AL VANGELO Alleluia, alleluia. Domani sarà distrutto il peccato della terra Alleluia. VANGELO Genealogia di Gesù Cristo, figlio di Davide. Dal Vangelo secondo Matteo 1, 1-25 Genealogia di Gesù Cristo figlio di Davide, figlio Abramo generò Isacco, Isacco generò Giacobbe, Davide generò Salomone da quella che era stata la moglie di",40
"generò Asaf, Asaf generò Giòsafat, Giòsafat generò Ioram, Dopo la deportazione in Babilonia, Ieconìa generò Salatièl, In tal modo, tutte le generazioni da Abramo a Davide sono Così fu generato Gesù Cristo: sua madre Maria, essendo proMentre però stava considerando queste cose, ecco, gli apparve Tutto questo è avvenuto perché si compisse ciò che era stato",41
"concepirà e darà alla luce un figlio: a lui sarà dato il nome di Quando si destò dal sonno, Giuseppe fece come gli aveva orParola del Signore. Forma breve: Maria darà alla luce un figlio, Dal Vangelo secondo Matteo 1, 18-25 Così fu generato Gesù Cristo: sua madre Maria, Mentre però stava considerando queste cose, ecco, gli apparve",42
"Santo; ella darà alla luce un figlio e tu lo chiamerai Gesù: egli Tutto questo è avvenuto perché si compisse ciò che era stato Quando si destò dal sonno, Giuseppe fece come gli aveva orParola del Signore. Per le Messe di Natale si usano i tre formulari qui indicati, così come sono",43
"NATALE Alla Messa della notte PRIMA LETTURA Dal libro del profeta Isaìa 9, 1-6 Il popolo che camminava nelle tenebre Hai moltiplicato la gioia, Perché un bambino è nato per noi,",44
"e il suo nome sarà: Parola di Dio. SALMO RESPONSORIALE Oggi è nato per noi il Salvatore. Cantate al Signore un canto nuovo, Annunciate di giorno in giorno la sua salvezza. Gioiscano i cieli, esulti la terra,",45
"Davanti al Signore che viene: SECONDA LETTURA Dalla lettera di san Paolo apostolo a Tito 2, 11-14 Figlio mio, è apparsa la grazia di Dio, che porta salEgli ha dato se stesso per noi, per riscattarci da ogni iniquità Parola di Dio.",46
"CANTO AL VANGELO Alleluia, alleluia. Vi annuncio una grande gioia: Alleluia. VANGELO Oggi è nato per voi il Salvatore. Dal Vangelo secondo Luca 2, 1-14 In quei giorni un decreto di Cesare Augusto orAnche Giuseppe, dalla Galilea, dalla città di Nàzaret, salì in Mentre si trovavano in quel luogo, si compirono per lei i gior-",47
"C’erano in quella regione alcuni pastori che, pernottando alE subito apparve con l’angelo una moltitudine dell’esercito Parola del Signore.",48
"NATALE Alla Messa dell’aurora PRIMA LETTURA Dal libro del profeta Isaìa 62, 11-12 Ecco ciò che il Signore fa sentire «Dite alla figlia di Sion: Li chiameranno Popolo santo, Parola di Dio.",49
"SALMO RESPONSORIALE Oggi la luce risplende su di noi. Il Signore regna: esulti la terra, Una luce è spuntata per il giusto,",50
"SECONDA LETTURA Dalla lettera di san Paolo apostolo a Tito 3, 4-7 Figlio mio, Parola di Dio. CANTO AL VANGELO Alleluia, alleluia. Gloria a Dio nel più alto dei cieli Alleluia.",53
"VANGELO Dal Vangelo secondo Luca 2, 15-20 Appena gli angeli si furono allontanati da loro, Andarono, senza indugio, e trovarono Maria e Giuseppe e il Tutti quelli che udivano si stupirono delle cose dette loro dai I pastori se ne tornarono, glorificando e lodando Dio per tutParola del Signore.",54
"NATALE Alla Messa del giorno PRIMA LETTURA Dal libro del profeta Isaìa 52, 7-10 Come sono belli sui monti Una voce! Le tue sentinelle alzano la voce, Prorompete insieme in canti di gioia, Il Signore ha snudato il suo santo braccio Parola di Dio.",55
"SALMO RESPONSORIALE Tutta la terra ha veduto la salvezza del nostro Dio. Cantate al Signore un canto nuovo, Il Signore ha fatto conoscere la sua salvezza, Tutti i confini della terra hanno veduto Cantate inni al Signore con la cetra,",56
"SECONDA LETTURA Dalla lettera agli Ebrei 1, 1-6 Dio, che molte volte e in diversi modi nei tempi antiEgli è irradiazione della sua gloria e impronta della sua soInfatti, a quale degli angeli Dio ha mai detto: «Tu sei mio fiParola di Dio.",57
"CANTO AL VANGELO Alleluia, alleluia. Un giorno santo è spuntato per noi: Alleluia. VANGELO Il Verbo si fece carne Dal Vangelo secondo Giovanni 1, 1-18 In principio era il Verbo, Egli era, in principio, presso Dio: In lui era la vita",58
"Venne un uomo mandato da Dio: Veniva nel mondo la luce vera, A quanti però lo hanno accolto E il Verbo si fece carne Giovanni gli dà testimonianza e proclama:",59
"Colui che viene dopo di me Dalla sua pienezza Dio, nessuno lo ha mai visto: Parola del Signore. Forma breve: Il Verbo si fece carne Dal Vangelo secondo Giovanni 1, 1-5.9-14 In principio era il Verbo, Egli era, in principio, presso Dio:",60
"In lui era la vita Veniva nel mondo la luce vera, A quanti però lo hanno accolto E il Verbo si fece carne Parola del Signore.",61
"SANTA FAMIGLIA DI GESÙ PRIMA LETTURA Dal primo libro di Samuèle 1, 20-22.24-28 Al finir dell’anno Anna concepì e partorì un figlio e lo Dopo averlo svezzato, lo portò con sé, con un giovenco di tre Parola di Dio.",62
"SALMO RESPONSORIALE Beato chi abita nella tua casa, Signore. Quanto sono amabili le tue dimore, Beato chi abita nella tua casa: Signore, Dio degli eserciti, ascolta la mia preghiera,",63
"SECONDA LETTURA Dalla prima lettera di san Giovanni apostolo 3, 1-2.21-24 Carissimi, vedete quale grande amore ci ha dato il Carissimi, noi fin d’ora siamo figli di Dio, ma ciò che saremo Carissimi, se il nostro cuore non ci rimprovera nulla, abbiamo Questo è il suo comandamento: che crediamo nel nome del Parola di Dio.",64
"CANTO AL VANGELO Alleluia, alleluia. Apri, Signore, il nostro cuore Alleluia. VANGELO Gesù è ritrovato dai genitori nel tempio Dal Vangelo secondo Luca 2, 41-52 Igenitori di Gesù si recavano ogni anno a Dopo tre giorni lo trovarono nel tempio, seduto in mezzo ai",65
"l’udivano erano pieni di stupore per la sua intelligenza e le Al vederlo restarono stupiti, e sua madre gli disse: «Figlio, Scese dunque con loro e venne a Nàzaret e stava loro sottoParola del Signore.",66
"SOLENNITÀ DI MARIA SANTISSIMA PRIMA LETTURA Dal libro dei Numeri 6, 22-27 Il Signore parlò a Mosè e disse: «Parla ad Aronne e ai Ti benedica il Signore Così porranno il mio nome sugli Israeliti e io li benedirò». Parola di Dio.",67
"SALMO RESPONSORIALE Dio abbia pietà di noi e ci benedica. Dio abbia pietà di noi e ci benedica, Gioiscano le nazioni e si rallegrino, Ti lodino i popoli, o Dio,",68
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Gàlati 4, 4-7 Fratelli, quando venne la pienezza del tempo, Dio E che voi siete figli lo prova il fatto che Dio mandò nei nostri Parola di Dio. CANTO AL VANGELO Alleluia, alleluia. Molte volte e in diversi modi nei tempi antichi Alleluia.",71
"VANGELO Dal Vangelo secondo Luca 2, 16-21 In quel tempo, [i pastori] andarono, senza induTutti quelli che udivano si stupirono delle cose dette loro dai I pastori se ne tornarono, glorificando e lodando Dio per tutQuando furono compiuti gli otto giorni prescritti per la cirParola del Signore.",72
"II DOMENICA PRIMA LETTURA Dal libro del Siràcide 24, 1-4.12-16 (NV) [gr. 24, 1-2.8-12] La sapienza fa il proprio elogio, «Allora il creatore dell’universo mi diede un ordine, Prima dei secoli, fin dal principio, egli mi ha creata,",73
"Nella città che egli ama mi ha fatto abitare Parola di Dio. SALMO RESPONSORIALE Il Verbo si è fatto carne Celebra il Signore, Gerusalemme, Egli mette pace nei tuoi confini Annuncia a Giacobbe la sua parola,",74
"SECONDA LETTURA Dalla lettera di san Paolo apostolo agli Efesìni 1, 3-6.15-18 Benedetto Dio, Padre del Signore nostro Gesù Cristo, Perciò anch’io [Paolo], avendo avuto notizia della vostra fede Parola di Dio.",75
"CANTO AL VANGELO Alleluia, alleluia. Gloria a te, o Cristo, annunciato a tutte le genti; Alleluia. VANGELO Il Verbo si fece carne Dal Vangelo secondo Giovanni 1, 1-18 In principio era il Verbo, Egli era, in principio, presso Dio: In lui era la vita",76
"Venne un uomo mandato da Dio: Veniva nel mondo la luce vera, A quanti però lo hanno accolto E il Verbo si fece carne Giovanni gli dà testimonianza e proclama:",77
"Colui che viene dopo di me Dalla sua pienezza Dio, nessuno lo ha mai visto: Parola del Signore. Forma breve: Il Verbo si fece carne Dal Vangelo secondo Giovanni 1, 1-5.9-14 In principio era il Verbo, Egli era, in principio, presso Dio:",78
"In lui era la vita Veniva nel mondo la luce vera, A quanti però lo hanno accolto E il Verbo si fece carne Parola del Signore.",79
"EPIFANIA PRIMA LETTURA La gloria del Signore brilla sopra di te. Dal libro del profeta Isaìa 60, 1-6 À lzati, rivestiti di luce, perché viene la tua luce, Cammineranno le genti alla tua luce, Allora guarderai e sarai raggiante, Parola di Dio.",80
"SALMO RESPONSORIALE Ti adoreranno, Signore, tutti i popoli della terra. O Dio, affida al re il tuo diritto, Nei suoi giorni fiorisca il giusto I re di Tarsis e delle isole portino tributi, Perché egli libererà il misero che invoca",81
"SECONDA LETTURA Dalla lettera di san Paolo apostolo agli Efesìni 3, 2-3a.5-6 Fratelli, penso che abbiate sentito parlare del ministeEsso non è stato manifestato agli uomini delle precedenti geParola di Dio. CANTO AL VANGELO Alleluia, alleluia. Abbiamo visto la sua stella in oriente Alleluia.",82
"VANGELO Dal Vangelo secondo Matteo 2, 1-12 Nato Gesù a Betlemme di Giudea, al tempo del Allora Erode, chiamati segretamente i Magi, si fece dire da loUdito il re, essi partirono. Ed ecco, la stella, che avevano vi-",85
"aprirono i loro scrigni e gli offrirono in dono oro, incenso e Parola del Signore.",86
"BATTESIMO PRIMA LETTURA Dal libro del profeta Isaìa 40, 1-5.9-11 « onsolate, consolate il mio popolo Una voce grida: Sali su un alto monte,",87
"Alza la tua voce con forza, Parola di Dio.",88
"SALMO RESPONSORIALE Benedici il Signore, anima mia. Sei tanto grande, Signore, mio Dio! Costruisci sulle acque le tue alte dimore, Quante sono le tue opere, Signore! Tutti da te aspettano Nascondi il tuo volto: li assale il terrore;",91
"SECONDA LETTURA Dalla lettera di san Paolo apostolo a Tito 2, 11-14; 3, 4-7 Figlio mio, è apparsa la grazia di Dio, che porta salEgli ha dato se stesso per noi, per riscattarci da ogni iniquità Ma quando apparvero la bontà di Dio, salvatore nostro, Parola di Dio.",92
"CANTO AL VANGELO Alleluia, alleluia. Viene colui che è più forte di me, disse Giovanni; Alleluia. VANGELO Mentre Gesù, ricevuto il battesimo, Dal Vangelo secondo Luca 3, 15-16.21-22 In quel tempo, poiché il popolo era in attesa e Ed ecco, mentre tutto il popolo veniva battezzato e Gesù, riParola del Signore.",93
TEMPO,95
"I DOMENICA PRIMA LETTURA Dal libro del Deuteronòmio 26, 4-10 Mosè parlò al popolo e disse: «Il sacerdote prenderà la cesta dalle tue mani e la Parola di Dio.",97
"SALMO RESPONSORIALE Resta con noi, Signore, nell’ora della prova. Chi abita al riparo dell’Altissimo Non ti potrà colpire la sventura, Sulle mani essi ti porteranno, «Lo libererò, perché a me si è legato,",98
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Romani 10, 8-13 Fratelli, che cosa dice [Mosè]? «Vicino a te è la ParoDice infatti la Scrittura: «Chiunque crede in lui non sarà deluParola di Dio. CANTO AL VANGELO Lode a te, o Cristo, re di eterna gloria! Non di solo pane vivrà l’uomo, Lode a te, o Cristo, re di eterna gloria!",101
"VANGELO Dal Vangelo secondo Luca I 4, 1-13 n quel tempo, Gesù, pieno di Spirito Santo, si Il diavolo lo condusse in alto, gli mostrò in un istante tutti i Lo condusse a Gerusalemme, lo pose sul punto più alto del Dopo aver esaurito ogni tentazione, il diavolo si allontanò da Parola del Signore.",102
"II DOMENICA PRIMA LETTURA Dal libro della Gènesi 15, 5-12.17-18 In quei giorni, Dio condusse fuori Abram e gli disse: E gli disse: «Io sono il Signore, che ti ho fatto uscire da Ur Andò a prendere tutti questi animali, li divise in due e collocò Mentre il sole stava per tramontare, un torpore cadde su Quando, tramontato il sole, si era fatto buio fitto, ecco un",103
"«Alla tua discendenza Parola di Dio. SALMO RESPONSORIALE Il Signore è mia luce e mia salvezza. Il Signore è mia luce e mia salvezza: Ascolta, Signore, la mia voce. Non nascondermi il tuo volto, Sono certo di contemplare la bontà del Signore",104
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Filippési 3, 17 – 4, 1 Fratelli, fatevi insieme miei imitatori e guardate La nostra cittadinanza infatti è nei cieli e di là aspettiamo Perciò, fratelli miei carissimi e tanto desiderati, mia gioia e Parola di Dio.",107
"Forma breve: Dalla lettera di san Paolo apostolo ai Filippési 3, 20 – 4, 1 Fratelli, la nostra cittadinanza è nei cieli e di là Perciò, fratelli miei carissimi e tanto desiderati, mia gioia e Parola di Dio. CANTO AL VANGELO Lode e onore a te, Signore Gesù! Dalla nube luminosa, si udì la voce del Padre: Lode e onore a te, Signore Gesù!",108
"VANGELO Dal Vangelo secondo Luca 9, 28b-36 In quel tempo, Gesù prese con sé Pietro, GioPietro e i suoi compagni erano oppressi dal sonno; ma, quanMentre questi si separavano da lui, Pietro disse a Gesù: Mentre parlava così, venne una nube e li coprì con la sua omAppena la voce cessò, restò Gesù solo. Essi tacquero e in quei Parola del Signore.",109
"III DOMENICA In luogo delle letture qui riportate, si possono usare quelle della III domePRIMA LETTURA Io-Sono mi ha mandato a voi. Dal libro dell’Èsodo 3, 1-8a.13-15 In quei giorni, mentre Mosè stava pascolando il gregL’angelo del Signore gli apparve in una fiamma di fuoco dal Mosè pensò: «Voglio avvicinarmi a osservare questo grande",110
"Il Signore disse: «Ho osservato la miseria del mio popolo in Mosè disse a Dio: «Ecco, io vado dagli Israeliti e dico loro: “Il Dio disse a Mosè: «Io sono colui che sono!». E aggiunse: Parola di Dio.",113
"SALMO RESPONSORIALE Il Signore ha pietà del suo popolo. Benedici il Signore, anima mia, Egli perdona tutte le tue colpe, Il Signore compie cose giuste, Misericordioso e pietoso è il Signore,",114
"SECONDA LETTURA Dalla prima lettera di san Paolo apostolo ai Corìnzi 10, 1-6.10-12 Non voglio che ignoriate, fratelli, che i nostri padri Ciò avvenne come esempio per noi, perché non desiderassimo Non mormorate, come mormorarono alcuni di loro, e caddero Parola di Dio.",115
"CANTO AL VANGELO Lode e onore a te, Signore Gesù! Convertitevi, dice il Signore, Lode e onore a te, Signore Gesù! VANGELO Se non vi convertite, perirete tutti allo stesso modo. Dal Vangelo secondo Luca 13, 1-9 In quel tempo si presentarono alcuni a riferire a",116
Diceva anche questa parabola: «Un tale aveva piantato un alParola del Signore.,117
"IV DOMENICA In luogo delle letture qui riportate, si possono usare quelle della IV domePRIMA LETTURA Il popolo di Dio, entrato nella terra promessa, Dal libro di Giosuè 5, 9a.10-12 In quei giorni, il Signore disse a Giosuè: «Oggi ho alGli Israeliti rimasero accampati a Gàlgala e celebraIl giorno dopo la Pasqua mangiarono i prodotti della terra, àzE a partire dal giorno seguente, come ebbero mangiato i proParola di Dio.",118
"SALMO RESPONSORIALE Gustate e vedete com’è buono il Signore. Benedirò il Signore in ogni tempo, Magnificate con me il Signore, Guardate a lui e sarete raggianti,",119
"SECONDA LETTURA Dalla seconda lettera di san Paolo apostolo ai Corìnzi 5, 17-21 Fratelli, se uno è in Cristo, è una nuova creatura; le Tutto questo però viene da Dio, che ci ha riconciliati con sé In nome di Cristo, dunque, siamo ambasciatori: per mezzo noColui che non aveva conosciuto peccato, Dio lo fece peccato Parola di Dio.",120
"CANTO AL VANGELO Lode e onore a te, Signore Gesù! Mi alzerò, andrò da mio padre e gli dirò: Lode e onore a te, Signore Gesù! VANGELO Questo tuo fratello era morto ed è tornato in vita. Dal Vangelo secondo Luca 15, 1-3.11-32 In quel tempo, si avvicinavano a Gesù tutti i Ed egli disse loro questa parabola: «Un uomo",121
"do ebbe speso tutto, sopraggiunse in quel paese una grande Quando era ancora lontano, suo padre lo vide, ebbe compasIl figlio maggiore si trovava nei campi. Al ritorno, quando fu",122
"tornato questo tuo figlio, il quale ha divorato le tue sostanze Parola del Signore.",123
"V DOMENICA In luogo delle letture qui riportate, si possono usare quelle della V domePRIMA LETTURA Ecco, io faccio una cosa nuova Dal libro del profeta Isaìa 43, 16-21 Così dice il Signore, «Non ricordate più le cose passate,",124
"per dissetare il mio popolo, il mio eletto. Parola di Dio. SALMO RESPONSORIALE Grandi cose ha fatto il Signore per noi. Quando il Signore ristabilì la sorte di Sion, Allora si diceva tra le genti: Ristabilisci, Signore, la nostra sorte, Nell’andare, se ne va piangendo,",125
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Filippési 3, 8-14 Fratelli, ritengo che tutto sia una perdita a motivo Non ho certo raggiunto la mèta, non sono arrivato alla perfeParola di Dio.",126
"CANTO AL VANGELO Lode e onore a te, Signore Gesù! Ritornate a me con tutto il cuore, dice il Signore, Lode e onore a te, Signore Gesù! VANGELO Chi di voi è senza peccato, Dal Vangelo secondo Giovanni 8, 1-11 In quel tempo, Gesù si avviò verso il monte deAllora gli scribi e i farisei gli condussero una",127
"Ma Gesù si chinò e si mise a scrivere col dito per terra. TuttaLo lasciarono solo, e la donna era là in mezzo. Allora Gesù si Parola del Signore.",128
"DOMENICA DELLE PALME: Alla commemorazione VANGELO Dal Vangelo secondo Luca 19, 28-40 In quel tempo, Gesù camminava davanti a tutti Gli inviati andarono e trovarono come aveva loro detto. Mentre Lo condussero allora da Gesù; e gettati i loro mantelli sul pu-",131
"«Benedetto colui che viene, Alcuni farisei tra la folla gli dissero: «Maestro, rimprovera i Parola del Signore.",132
"Alla Messa PRIMA LETTURA Dal libro del profeta Isaìa 50, 4-7 Il Signore Dio mi ha dato una lingua da discepolo, Ogni mattina fa attento il mio orecchio Ho presentato il mio dorso ai flagellatori, Parola di Dio.",133
"SALMO RESPONSORIALE Dio mio, Dio mio, perché mi hai abbandonato? Si fanno beffe di me quelli che mi vedono, Un branco di cani mi circonda, Si dividono le mie vesti, Annuncerò il tuo nome ai miei fratelli,",134
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Filippési 2, 6-11 Cristo Gesù, Per questo Dio lo esaltò Parola di Dio.",135
"CANTO AL VANGELO Lode e onore a te, Signore Gesù! Per noi Cristo si è fatto obbediente fino alla morte Lode e onore a te, Signore Gesù! VANGELO La passione del Signore. Passione di nostro Signore Gesù Cristo 22, 14 – 23, 56 Q Ho tanto desiderato mangiare questa Pasqua con voi,",136
"Fate questo in memoria di me Guai a quell’uomo dal quale il Figlio dell’uomo viene tradito! Io sto in mezzo a voi come colui che serve Tu, una volta convertito, conferma i tuoi fratelli",137
"ga meno. E tu, una volta convertito, conferma i tuoi fratelli». Deve compiersi in me questa parola della Scrittura Entrato nella lotta, pregava più intensamente",138
"Giuda, con un bacio tu tradisci il Figlio dell’uomo? Uscito fuori, Pietro pianse amaramente",139
"canti, oggi mi rinnegherai tre volte». E, uscito fuori, pianse Fa’ il profeta! Chi è che ti ha colpito? Lo condussero davanti al loro Sinedrio Non trovo in quest’uomo alcun motivo di condanna",140
"ciò, Pilato domandò se quell’uomo era Galileo e, saputo che Erode con i suoi soldati insulta Gesù Pilato abbandona Gesù alla loro volontà",141
"loro grida crescevano. Pilato allora decise che la loro richiesta Figlie di Gerusalemme, non piangete su di me Insieme con lui venivano condotti a morte anche altri due, Padre, perdona loro perché non sanno quello che fanno Poi dividendo le sue vesti, le tirarono a sorte. Costui è il re dei Giudei",142
"porgergli dell’aceto e dicevano: «Se tu sei il re dei Giudei, Oggi con me sarai nel paradiso Padre, nelle tue mani consegno il mio spirito Qui ci si genuflette e si fa una breve pausa. Visto ciò che era accaduto, il centurione dava gloria a Dio di-",143
Giuseppe pone il corpo di Gesù in un sepolcro scavato nella roccia Parola del Signore.,144
"Forma breve: La passione del Signore. Passione di nostro Signore Gesù Cristo 23, 1-49 I Non trovo in quest’uomo alcun motivo di condanna Erode con i suoi soldati insulta Gesù",145
"mandò a Pilato. In quel giorno Erode e Pilato diventarono Pilato abbandona Gesù alla loro volontà Figlie di Gerusalemme, non piangete su di me",146
"voi stesse e sui vostri figli. Ecco, verranno giorni nei quali si Insieme con lui venivano condotti a morte anche altri due, Padre, perdona loro perché non sanno quello che fanno Costui è il re dei Giudei Oggi con me sarai nel paradiso",147
"Padre, nelle tue mani consegno il mio spirito Qui ci si genuflette e si fa una breve pausa. Visto ciò che era accaduto, il centurione dava gloria a Dio diParola del Signore.",148
"GIOVEDÌ DELLA Alla Messa del Crisma PRIMA LETTURA Dal libro del profeta Isaìa 61, 1-3a.6a.8b-9 Lo spirito del Signore Dio è su di me, Voi sarete chiamati sacerdoti del Signore, Io darò loro fedelmente il salario,",149
"Coloro che li vedranno riconosceranno Parola di Dio. SALMO RESPONSORIALE Canterò per sempre l’amore del Signore. Ho trovato Davide, mio servo, La mia fedeltà e il mio amore saranno con lui",150
"SECONDA LETTURA Dal libro dell’Apocalisse di san Giovanni apostolo 1, 5-8 Grazia a voi e pace da Gesù Cristo, il testimone fedele, A Colui che ci ama e ci ha liberati dai nostri peccati Ecco, viene con le nubi e ogni occhio lo vedrà, Dice il Signore Dio: io sono l’Alfa e l’Omèga, Colui che è, che Parola di Dio.",151
"CANTO AL VANGELO Gloria e lode a te, Cristo Signore! Lo Spirito del Signore è sopra di me: Gloria e lode a te, Cristo Signore! VANGELO Lo Spirito del Signore è sopra di me; Dal Vangelo secondo Luca 4, 16-21 In quel tempo, Gesù venne a Nàzaret, dove era «Lo Spirito del Signore è sopra di me;",152
"Riavvolse il rotolo, lo riconsegnò all’inserviente e sedette. Parola del Signore.",153
TRIDUO,155
"GIOVEDÌ Alla Messa vespertina PRIMA LETTURA Dal libro dell’Èsodo 12, 1-8.11-14 In quei giorni, il Signore disse a Mosè e ad Aronne in «Questo mese sarà per voi l’inizio dei mesi, sarà per Il vostro agnello sia senza difetto, maschio, nato nell’anno;",157
