testo,pagina
"La mia anima esulta nel mio Dio.
L’anima mia magnifica il Signore
e il mio spirito esulta in Dio, mio salvatore,
perché ha guardato l’umiltà della sua serva.
D’ora in poi tutte le generazioni mi chiameranno beata.
Grandi cose ha fatto per me l’Onnipotente
e Santo è il suo nome;
di generazione in generazione la sua misericordia
per quelli che lo temono.
Ha ricolmato di beni gli affamati,
ha rimandato i ricchi a mani vuote.
Ha soccorso Israele, suo servo,
ricordandosi della sua misericordia.
SALMO RESPONSORIALE
Da Lc 1, 46-54",27
"ratelli, siate sempre lieti, pregate ininterrottamente,
in ogni cosa rendete grazie: questa infatti è volontà
di Dio in Cristo Gesù verso di voi. 
Non spegnete lo Spirito, non disprezzate le profezie. Vagliate
ogni cosa e tenete ciò che è buono. Astenetevi da ogni specie
di male.
Il Dio della pace vi santifichi interamente, e tutta la vostra
persona, spirito, anima e corpo, si conservi irreprensibile per
la venuta del Signore nostro Gesù Cristo. Degno di fede è co-
lui che vi chiama: egli farà tutto questo!
Parola di Dio.
Alleluia, alleluia.
Lo Spirito del Signore è sopra di me,
mi ha mandato a portare ai poveri il lieto annuncio.
Alleluia.
SECONDA LETTURA
Spirito, anima e corpo si conservino irreprensibili 
per la venuta del Signore.
CANTO AL VANGELO
Is 61, 1 (cit. in Lc 4, 18)
Dalla prima lettera di san Paolo apostolo ai Tessalonicési
5, 16-24
F",28
"enne un uomo mandato da Dio:
il suo nome era Giovanni.
Egli venne come testimone
per dare testimonianza alla luce,
perché tutti credessero per mezzo di lui.
Non era lui la luce,
ma doveva dare testimonianza alla luce.
Questa è la testimonianza di Giovanni, quando i Giudei gli
inviarono da Gerusalemme sacerdoti e levìti a interrogarlo:
«Tu, chi sei?». Egli confessò e non negò. Confessò: «Io non
sono il Cristo». Allora gli chiesero: «Chi sei, dunque? Sei tu
Elia?». «Non lo sono», disse. «Sei tu il profeta?». «No», ri-
spose. Gli dissero allora: «Chi sei? Perché possiamo dare
una risposta a coloro che ci hanno mandato. Che cosa dici di
te stesso?». Rispose: «Io sono voce di uno che grida nel de-
serto: Rendete diritta la via del Signore, come disse il pro-
feta Isaìa». 
Quelli che erano stati inviati venivano dai farisei. Essi lo
interrogarono e gli dissero: «Perché dunque tu battezzi, se
non sei il Cristo, né Elia, né il profeta?». Giovanni rispose loro:
«Io battezzo nell’acqua. In mezzo a voi sta uno che voi non
conoscete, colui che viene dopo di me: a lui io non sono degno
di slegare il laccio del sandalo». 
Dal Vangelo secondo Giovanni
1, 6-8.19-28
VANGELO
In mezzo a voi sta uno che voi non conoscete.
V",29
"Questo avvenne in Betània, al di là del Giordano, dove Gio-
vanni stava battezzando.
Parola del Signore.",30
"l re Davide, quando si fu stabilito nella sua casa, e il
Signore gli ebbe dato riposo da tutti i suoi nemici
all’intorno, disse al profeta Natan: «Vedi, io abito in
una casa di cedro, mentre l’arca di Dio sta sotto i teli di una
tenda». Natan rispose al re: «Va’, fa’ quanto hai in cuor tuo,
perché il Signore è con te». 
Ma quella stessa notte fu rivolta a Natan questa parola del
Signore: «Va’ e di’ al mio servo Davide: ”Così dice il Signo-
re: Forse tu mi costruirai una casa, perché io vi abiti? Io ti
ho preso dal pascolo, mentre seguivi il gregge, perché tu
fossi capo del mio popolo Israele. Sono stato con te dovun-
que sei andato, ho distrutto tutti i tuoi nemici davanti a te
e renderò il tuo nome grande come quello dei grandi che so-
no sulla terra. Fisserò un luogo per Israele, mio popolo, e ve
lo pianterò perché vi abiti e non tremi più e i malfattori
non lo opprimano come in passato e come dal giorno in cui
avevo stabilito dei giudici sul mio popolo Israele. Ti darò ri-
poso da tutti i tuoi nemici. Il Signore ti annuncia che farà a
te una casa. 
PRIMA LETTURA
Il regno di Davide sarà saldo per sempre 
davanti al Signore.
Dal secondo libro di Samuèle
7, 1-5.8b-12.14a.16
IV DOMENICA 
DI AVVENTO
I",31
"Quando i tuoi giorni saranno compiuti e tu dormirai con i
tuoi padri, io susciterò un tuo discendente dopo di te, uscito
dalle tue viscere, e renderò stabile il suo regno. Io sarò per
lui padre ed egli sarà per me figlio. 
La tua casa e il tuo regno saranno saldi per sempre davanti a
me, il tuo trono sarà reso stabile per sempre”».
Parola di Dio.
Canterò per sempre l’amore del Signore.
Canterò in eterno l’amore del Signore,
di generazione in generazione 
farò conoscere con la mia bocca la tua fedeltà,
perché ho detto: «È un amore edificato per sempre;
nel cielo rendi stabile la tua fedeltà».
«Ho stretto un’alleanza con il mio eletto,
ho giurato a Davide, mio servo.
Stabilirò per sempre la tua discendenza,
di generazione in generazione edificherò il tuo trono».
«Egli mi invocherà: “Tu sei mio padre,
mio Dio e roccia della mia salvezza”.
Gli conserverò sempre il mio amore,
la mia alleanza gli sarà fedele».
SALMO RESPONSORIALE
Dal Salmo 88 (89)",32
"ratelli, 
a colui che ha il potere di confermarvi
nel mio vangelo, che annuncia Gesù Cristo,
secondo la rivelazione del mistero, 
avvolto nel silenzio per secoli eterni,
ma ora manifestato mediante le scritture dei Profeti,
per ordine dell’eterno Dio,
annunciato a tutte le genti
perché giungano all’obbedienza della fede,
a Dio, che solo è sapiente,
per mezzo di Gesù Cristo,
la gloria nei secoli. Amen.
Parola di Dio.
Alleluia, alleluia.
Ecco la serva del Signore:
avvenga per me secondo la tua parola.
Alleluia.
SECONDA LETTURA
Il mistero avvolto nel silenzio per secoli, 
ora è manifestato.
CANTO AL VANGELO
Lc 1, 38
Dalla lettera di san Paolo apostolo ai Romani
16, 25-27
F",35
"n quel tempo, l’angelo Gabriele fu mandato da
Dio in una città della Galilea, chiamata Nàzaret,
a una vergine, promessa sposa di un uomo della
casa di Davide, di nome Giuseppe. La vergine si
chiamava Maria. Entrando da lei, disse: «Rallè-
grati, piena di grazia: il Signore è con te».
A queste parole ella fu molto turbata e si domandava che
senso avesse un saluto come questo. L’angelo le disse: «Non
temere, Maria, perché hai trovato grazia presso Dio. Ed ecco,
concepirai un figlio, lo darai alla luce e lo chiamerai Gesù.
Sarà grande e verrà chiamato Figlio dell’Altissimo; il Signore
Dio gli darà il trono di Davide suo padre e regnerà per sempre
sulla casa di Giacobbe e il suo regno non avrà fine».
Allora Maria disse all’angelo: «Come avverrà questo, poiché
non conosco uomo?». Le rispose l’angelo: «Lo Spirito Santo
scenderà su di te e la potenza dell’Altissimo ti coprirà con la
sua ombra. Perciò colui che nascerà sarà santo e sarà chiamato
Figlio di Dio. Ed ecco, Elisabetta, tua parente, nella sua vec-
chiaia ha concepito anch’essa un figlio e questo è il sesto me-
se per lei, che era detta sterile: nulla è impossibile a Dio». 
Allora Maria disse: «Ecco la serva del Signore: avvenga per me
secondo la tua parola». E l’angelo si allontanò da lei.
Parola del Signore.
Dal Vangelo secondo Luca
1, 26-38
VANGELO
Ecco concepirai un figlio e lo darai alla luce.
I",36
"TEMPO
DI NATALE",37
"er amore di Sion non tacerò,
per amore di Gerusalemme non mi concederò riposo,
finché non sorga come aurora la sua giustizia
e la sua salvezza non risplenda come lampada.
Allora le genti vedranno la tua giustizia,
tutti i re la tua gloria;
sarai chiamata con un nome nuovo,
che la bocca del Signore indicherà.
Sarai una magnifica corona nella mano del Signore,
un diadema regale nella palma del tuo Dio.
Nessuno ti chiamerà più Abbandonata,
né la tua terra sarà più detta Devastata,
ma sarai chiamata Mia Gioia
e la tua terra Sposata,
perché il Signore troverà in te la sua delizia
e la tua terra avrà uno sposo.
PRIMA LETTURA
Il Signore troverà in te la sua delizia.
Dal libro del profeta Isaìa
62, 1-5
NATALE
DEL SIGNORE
Alla Messa vespertina nella vigilia
Queste letture vengono proclamate nella Messa che si celebra la sera del
24 dicembre, sia prima che dopo i Primi Vespri del Natale.
P",39
"Sì, come un giovane sposa una vergine,
così ti sposeranno i tuoi figli;
come gioisce lo sposo per la sposa,
così il tuo Dio gioirà per te.
Parola di Dio.
Canterò per sempre l’amore del Signore.
«Ho stretto un’alleanza con il mio eletto,
ho giurato a Davide, mio servo.
Stabilirò per sempre la tua discendenza,
di generazione in generazione edificherò il tuo trono».
Beato il popolo che ti sa acclamare:
camminerà, Signore, alla luce del tuo volto;
esulta tutto il giorno nel tuo nome,
si esalta nella tua giustizia.
«Egli mi invocherà: “Tu sei mio padre,
mio Dio e roccia della mia salvezza”.
Gli conserverò sempre il mio amore,
la mia alleanza gli sarà fedele».
SALMO RESPONSORIALE
Dal Salmo 88 (89)",40
"aolo, [giunto ad Antiòchia di Pisìdia, nella sinago-
ga,] si alzò e, fatto cenno con la mano, disse: 
«Uomini d’Israele e voi timorati di Dio, ascoltate. Il
Dio di questo popolo d’Israele scelse i nostri padri e rialzò il
popolo durante il suo esilio in terra d’Egitto, e con braccio
potente li condusse via di là.
Poi suscitò per loro Davide come re, al quale rese questa te-
stimonianza: “Ho trovato Davide, figlio di Iesse, uomo secon-
do il mio cuore; egli adempirà tutti i miei voleri”.
Dalla discendenza di lui, secondo la promessa, Dio inviò, co-
me salvatore per Israele, Gesù. Giovanni aveva preparato la
sua venuta predicando un battesimo di conversione a tutto il
popolo d’Israele. 
Diceva Giovanni sul finire della sua missione: “Io non sono
quello che voi pensate! Ma ecco, viene dopo di me uno, al
quale io non sono degno di slacciare i sandali”».
Parola di Dio.
SECONDA LETTURA
Testimonianza di Paolo a Cristo, figlio di Davide.
Dagli Atti degli Apostoli 
13, 16-17.22-25
P",41
"enealogia di Gesù Cristo figlio di Davide, figlio
di Abramo. 
Abramo generò Isacco, Isacco generò Giacobbe,
Giacobbe generò Giuda e i suoi fratelli, Giuda
generò Fares e Zara da Tamar, Fares generò
Esrom, Esrom generò Aram, Aram generò Aminadàb, Aminadàb
generò Naassòn, Naassòn generò Salmon, Salmon generò Booz
da Racab, Booz generò Obed da Rut, Obed generò Iesse, Iesse
generò il re Davide.
Davide generò Salomone da quella che era stata la moglie di
Urìa, Salomone generò Roboamo, Roboamo generò Abìa, Abìa
Dal Vangelo secondo Matteo
1, 1-25
VANGELO
Genealogia di Gesù Cristo, figlio di Davide.
CANTO AL VANGELO
Alleluia, alleluia.
Domani sarà distrutto il peccato della terra
e regnerà su di noi il Salvatore del mondo.
Alleluia.
G",42
"generò Asaf, Asaf generò Giòsafat, Giòsafat generò Ioram, Io-
ram generò Ozìa, Ozìa generò Ioatàm, Ioatàm generò Àcaz,
Àcaz generò Ezechìa, Ezechìa generò Manasse, Manasse ge-
nerò Amos, Amos generò Giosìa, Giosìa generò Ieconìa e i
suoi fratelli, al tempo della deportazione in Babilonia.
Dopo la deportazione in Babilonia, Ieconìa generò Salatièl,
Salatièl generò Zorobabele, Zorobabele generò Abiùd, Abiùd
generò Eliachìm, Eliachìm generò Azor, Azor generò Sadoc, Sa-
doc generò Achim, Achim generò Eliùd, Eliùd generò Eleàzar,
Eleàzar generò Mattan, Mattan generò Giacobbe, Giacobbe ge-
nerò Giuseppe, lo sposo di Maria, dalla quale è nato Gesù,
chiamato Cristo.
In tal modo, tutte le generazioni da Abramo a Davide sono
quattordici, da Davide fino alla deportazione in Babilonia
quattordici, dalla deportazione in Babilonia a Cristo quat-
tordici.
Così fu generato Gesù Cristo: sua madre Maria, essendo pro-
messa sposa di Giuseppe, prima che andassero a vivere insie-
me si trovò incinta per opera dello Spirito Santo. Giuseppe
suo sposo, poiché era uomo giusto e non voleva accusarla
pubblicamente, pensò di ripudiarla in segreto. 
Mentre però stava considerando queste cose, ecco, gli apparve
in sogno un angelo del Signore e gli disse: «Giuseppe, figlio
di Davide, non temere di prendere con te Maria, tua sposa.
Infatti il bambino che è generato in lei viene dallo Spirito
Santo; ella darà alla luce un figlio e tu lo chiamerai Gesù: egli
infatti salverà il suo popolo dai suoi peccati».
Tutto questo è avvenuto perché si compisse ciò che era stato
detto dal Signore per mezzo del profeta: «Ecco, la vergine",43
"concepirà e darà alla luce un figlio: a lui sarà dato il nome di
Emmanuele», che significa «Dio con noi». 
Quando si destò dal sonno, Giuseppe fece come gli aveva or-
dinato l’angelo del Signore e prese con sé la sua sposa; senza
che egli la conoscesse, ella diede alla luce un figlio ed egli lo
chiamò Gesù.
Parola del Signore.
osì fu generato Gesù Cristo: sua madre Maria,
essendo promessa sposa di Giuseppe, prima che
andassero a vivere insieme si trovò incinta per
opera dello Spirito Santo. Giuseppe suo sposo,
poiché era uomo giusto e non voleva accusarla
pubblicamente, pensò di ripudiarla in segreto. 
Mentre però stava considerando queste cose, ecco, gli apparve
in sogno un angelo del Signore e gli disse: «Giuseppe, figlio
di Davide, non temere di prendere con te Maria, tua sposa.
Infatti il bambino che è generato in lei viene dallo Spirito
Santo; ella darà alla luce un figlio e tu lo chiamerai Gesù: egli
infatti salverà il suo popolo dai suoi peccati».
Dal Vangelo secondo Matteo
1, 18-25
Forma breve:
Maria darà alla luce un figlio, 
e tu lo chiamerai Gesù.
C",44
"Tutto questo è avvenuto perché si compisse ciò che era stato
detto dal Signore per mezzo del profeta: «Ecco, la vergine
concepirà e darà alla luce un figlio: a lui sarà dato il nome di
Emmanuele», che significa «Dio con noi». 
Quando si destò dal sonno, Giuseppe fece come gli aveva or-
dinato l’angelo del Signore e prese con sé la sua sposa; senza
che egli la conoscesse, ella diede alla luce un figlio ed egli lo
chiamò Gesù.
Parola del Signore.
Per le Messe di Natale si usano i tre formulari qui indicati, così come sono
disposti. Tuttavia, è consentito scegliere tra le letture delle tre Messe –
sempre nel loro ordine (Antico Testamento, Apostolo, Vangelo) – quelle
ritenute pastoralmente più adatte all’assemblea che partecipa.",45
"l popolo che camminava nelle tenebre 
ha visto una grande luce;
su coloro che abitavano in terra tenebrosa
una luce rifulse.
Hai moltiplicato la gioia, 
hai aumentato la letizia.
Gioiscono davanti a te
come si gioisce quando si miete
e come si esulta quando si divide la preda.
Perché tu hai spezzato il giogo che l’opprimeva,
la sbarra sulle sue spalle,
e il bastone del suo aguzzino,
come nel giorno di Màdian.
Perché ogni calzatura di soldato che marciava rimbombando
e ogni mantello intriso di sangue
saranno bruciati, dati in pasto al fuoco.
Perché un bambino è nato per noi,
ci è stato dato un figlio.
Sulle sue spalle è il potere
PRIMA LETTURA
Ci è stato dato un figlio.
Dal libro del profeta Isaìa
9, 1-6
NATALE
DEL SIGNORE
Alla Messa della notte
I",46
"e il suo nome sarà:
Consigliere mirabile, Dio potente,
Padre per sempre, Principe della pace.
Grande sarà il suo potere
e la pace non avrà fine 
sul trono di Davide e sul suo regno,
che egli viene a consolidare e rafforzare
con il diritto e la giustizia, ora e per sempre.
Questo farà lo zelo del Signore degli eserciti.
Parola di Dio.
Oggi è nato per noi il Salvatore.
Cantate al Signore un canto nuovo,
cantate al Signore, uomini di tutta la terra.
Cantate al Signore, benedite il suo nome.
Annunciate di giorno in giorno la sua salvezza.
In mezzo alle genti narrate la sua gloria,
a tutti i popoli dite le sue meraviglie.
Gioiscano i cieli, esulti la terra,
risuoni il mare e quanto racchiude;
sia in festa la campagna e quanto contiene,
acclamino tutti gli alberi della foresta.
Davanti al Signore che viene:
sì, egli viene a giudicare la terra;
giudicherà il mondo con giustizia
e nella sua fedeltà i popoli.
SALMO RESPONSORIALE
Dal Salmo 95 (96)",47
"iglio mio, è apparsa la grazia di Dio, che porta sal-
vezza a tutti gli uomini e ci insegna a rinnegare
l’empietà e i desideri mondani e a vivere in questo
mondo con sobrietà, con giustizia e con pietà, nell’attesa del-
la beata speranza e della manifestazione della gloria del no-
stro grande Dio e salvatore Gesù Cristo. 
Egli ha dato se stesso per noi, per riscattarci da ogni iniquità
e formare per sé un popolo puro che gli appartenga, pieno di
zelo per le opere buone.
Parola di Dio.
Alleluia, alleluia.
Vi annuncio una grande gioia:
oggi è nato per voi un Salvatore, Cristo Signore.
Alleluia.
SECONDA LETTURA
È apparsa la grazia di Dio per tutti gli uomini.
CANTO AL VANGELO
Lc 2, 10-11
Dalla lettera di san Paolo apostolo a Tito 
2, 11-14
F",48
"n quei giorni un decreto di Cesare Augusto or-
dinò che si facesse il censimento di tutta la
terra. Questo primo censimento fu fatto quan-
do Quirinio era governatore della Siria. Tutti
andavano a farsi censire, ciascuno nella pro-
pria città. 
Anche Giuseppe, dalla Galilea, dalla città di Nàzaret, salì in
Giudea alla città di Davide chiamata Betlemme: egli apparte-
neva infatti alla casa e alla famiglia di Davide. Doveva farsi
censire insieme a Maria, sua sposa, che era incinta. 
Mentre si trovavano in quel luogo, si compirono per lei i gior-
ni del parto. Diede alla luce il suo figlio primogenito, lo av-
volse in fasce e lo pose in una mangiatoia, perché per loro
non c’era posto nell’alloggio.
C’erano in quella regione alcuni pastori che, pernottando al-
l’aperto, vegliavano tutta la notte facendo la guardia al loro
gregge. Un angelo del Signore si presentò a loro e la gloria
del Signore li avvolse di luce. Essi furono presi da grande ti-
more, ma l’angelo disse loro: «Non temete: ecco, vi annuncio
una grande gioia, che sarà di tutto il popolo: oggi, nella città
di Davide, è nato per voi un Salvatore, che è Cristo Signore.
Questo per voi il segno: troverete un bambino avvolto in fa-
sce, adagiato in una mangiatoia». 
Dal Vangelo secondo Luca
2, 1-14
VANGELO
Oggi è nato per voi il Salvatore.
I",49
"E subito apparve con l’angelo una moltitudine dell’esercito
celeste, che lodava Dio e diceva:
«Gloria a Dio nel più alto dei cieli
e sulla terra pace agli uomini, che egli ama».
Parola del Signore.",50
